time itr a b c d source HEOM_C_re HEOM_C_im RMRT_gdd_re RMRT_gdd_im diff_re diff_im abs_diff ratio_re ratio_im abs_ratio
0.0000000000e+00 1 1 1 1 1 fd_gprime 8.025265842909e-01 -1.500000000000e-01 3.329798346811e-01 -2.864085145802e-02 -4.695467496098e-01 1.213591485420e-01 4.849764870630e-01 4.073538933898e-01 4.045004014307e-02 4.093573013974e-01
0.0000000000e+00 1 2 2 2 2 fd_gprime 8.025265842909e-01 -1.500000000000e-01 3.329798346811e-01 -2.864085145802e-02 -4.695467496098e-01 1.213591485420e-01 4.849764870630e-01 4.073538933898e-01 4.045004014307e-02 4.093573013974e-01
0.0000000000e+00 1 1 1 2 2 fd_gprime 2.675088614303e-01 -5.000000000000e-02 1.109932782270e-01 -9.546950486005e-03 -1.565155832033e-01 4.045304951399e-02 1.616588290210e-01 4.073538933898e-01 4.045004014307e-02 4.093573013974e-01
0.0000000000e+00 1 2 2 1 1 fd_gprime 2.675088614303e-01 -5.000000000000e-02 1.109932782270e-01 -9.546950486005e-03 -1.565155832033e-01 4.045304951399e-02 1.616588290210e-01 4.073538933898e-01 4.045004014307e-02 4.093573013974e-01
0.0000000000e+00 1 1 2 2 1 direct_gddot 2.675088614303e-01 -5.000000000000e-02 1.126389854241e-01 0.000000000000e+00 -1.548698760062e-01 5.000000000000e-02 1.627411395258e-01 4.068528703102e-01 7.604474635622e-02 4.138986126191e-01
0.0000000000e+00 1 1 2 1 2 direct_gddot 2.675088614303e-01 -5.000000000000e-02 1.126389854241e-01 0.000000000000e+00 -1.548698760062e-01 5.000000000000e-02 1.627411395258e-01 4.068528703102e-01 7.604474635622e-02 4.138986126191e-01
2.0000000000e-02 2 1 1 1 1 fd_gprime 4.750398991920e-01 -1.470298009960e-01 3.195743593464e-01 -5.269518112444e-02 -1.554655398456e-01 9.433461987157e-02 1.818476136379e-01 6.452519503466e-01 8.878429959049e-02 6.513315064388e-01
2.0000000000e-02 2 2 2 2 2 fd_gprime 4.750398991920e-01 -1.470298009960e-01 3.195743593464e-01 -5.269518112444e-02 -1.554655398456e-01 9.433461987157e-02 1.818476136379e-01 6.452519503466e-01 8.878429959049e-02 6.513315064388e-01
2.0000000000e-02 2 1 1 2 2 fd_gprime 1.583466330640e-01 -4.900993366534e-02 1.065247864488e-01 -1.756506037481e-02 -5.182184661519e-02 3.144487329052e-02 6.061587121263e-02 6.452519503466e-01 8.878429959049e-02 6.513315064388e-01
2.0000000000e-02 2 2 2 1 1 fd_gprime 1.583466330640e-01 -4.900993366534e-02 1.065247864488e-01 -1.756506037481e-02 -5.182184661519e-02 3.144487329052e-02 6.061587121263e-02 6.452519503466e-01 8.878429959049e-02 6.513315064388e-01
2.0000000000e-02 2 1 2 2 1 direct_gddot 1.583466330640e-01 -4.900993366534e-02 1.077837550580e-01 -1.855294569887e-02 -5.056287800603e-02 3.045698796646e-02 5.902738981389e-02 6.542697467135e-01 8.533664988842e-02 6.598115225417e-01
2.0000000000e-02 2 1 2 1 2 direct_gddot 1.583466330640e-01 -4.900993366534e-02 1.077837550580e-01 -1.855294569887e-02 -5.056287800603e-02 3.045698796646e-02 5.902738981389e-02 6.542697467135e-01 8.533664988842e-02 6.598115225417e-01
4.0000000000e-02 3 1 1 1 1 fd_gprime 4.096294527692e-01 -1.441184158728e-01 2.854465077236e-01 -8.959173235429e-02 -1.241829450456e-01 5.452668351856e-02 1.356265573394e-01 6.885591012502e-01 2.353911440579e-02 6.889613384084e-01
4.0000000000e-02 3 2 2 2 2 fd_gprime 4.096294527692e-01 -1.441184158728e-01 2.854465077236e-01 -8.959173235429e-02 -1.241829450456e-01 5.452668351856e-02 1.356265573394e-01 6.885591012502e-01 2.353911440579e-02 6.889613384084e-01
4.0000000000e-02 3 1 1 2 2 fd_gprime 1.365431509231e-01 -4.803947195762e-02 9.514883590787e-02 -2.986391078476e-02 -4.139431501521e-02 1.817556117285e-02 4.520885244647e-02 6.885591012502e-01 2.353911440579e-02 6.889613384084e-01
4.0000000000e-02 3 2 2 1 1 fd_gprime 1.365431509231e-01 -4.803947195762e-02 9.514883590787e-02 -2.986391078476e-02 -4.139431501521e-02 1.817556117285e-02 4.520885244647e-02 6.885591012502e-01 2.353911440579e-02 6.889613384084e-01
4.0000000000e-02 3 1 2 2 1 direct_gddot 1.365431509231e-01 -4.803947195762e-02 9.548736349329e-02 -3.129443781992e-02 -4.105578742978e-02 1.674503413770e-02 4.433930366788e-02 6.940452771769e-01 1.499255580744e-02 6.942071906147e-01
4.0000000000e-02 3 1 2 1 2 direct_gddot 1.365431509231e-01 -4.803947195762e-02 9.548736349329e-02 -3.129443781992e-02 -4.105578742978e-02 1.674503413770e-02 4.433930366788e-02 6.940452771769e-01 1.499255580744e-02 6.942071906147e-01
6.0000000000e-02 4 1 1 1 1 fd_gprime 3.710709534248e-01 -1.412646800376e-01 2.451527069611e-01 -1.034010059460e-01 -1.259182464637e-01 3.786367409164e-02 1.314878800810e-01 6.696884604277e-01 -2.370888849579e-02 6.701080102668e-01
6.0000000000e-02 4 2 2 2 2 fd_gprime 3.710709534248e-01 -1.412646800376e-01 2.451527069611e-01 -1.034010059460e-01 -1.259182464637e-01 3.786367409164e-02 1.314878800810e-01 6.696884604277e-01 -2.370888849579e-02 6.701080102668e-01
6.0000000000e-02 4 1 1 2 2 fd_gprime 1.236903178083e-01 -4.708822667921e-02 8.171756898703e-02 -3.446700198200e-02 -4.197274882123e-02 1.262122469721e-02 4.382929336035e-02 6.696884604277e-01 -2.370888849579e-02 6.701080102668e-01
6.0000000000e-02 4 2 2 1 1 fd_gprime 1.236903178083e-01 -4.708822667921e-02 8.171756898703e-02 -3.446700198200e-02 -4.197274882123e-02 1.262122469721e-02 4.382929336035e-02 6.696884604277e-01 -2.370888849579e-02 6.701080102668e-01
6.0000000000e-02 4 1 2 2 1 direct_gddot 1.236903178083e-01 -4.708822667921e-02 8.115472995314e-02 -3.560793446843e-02 -4.253558785511e-02 1.148029221078e-02 4.405761390980e-02 6.687811350775e-01 -3.327840734877e-02 6.696085864378e-01
6.0000000000e-02 4 1 2 1 2 direct_gddot 1.236903178083e-01 -4.708822667921e-02 8.115472995314e-02 -3.560793446843e-02 -4.253558785511e-02 1.148029221078e-02 4.405761390980e-02 6.687811350775e-01 -3.327840734877e-02 6.696085864378e-01
8.0000000000e-02 5 1 1 1 1 fd_gprime 3.437842085800e-01 -1.384674519580e-01 2.131384376917e-01 -9.833974088622e-02 -1.306457708883e-01 4.012771107178e-02 1.366694942072e-01 6.325710938635e-01 -3.126738537833e-02 6.333433809397e-01
8.0000000000e-02 5 2 2 2 2 fd_gprime 3.437842085800e-01 -1.384674519580e-01 2.131384376917e-01 -9.833974088622e-02 -1.306457708883e-01 4.012771107178e-02 1.366694942072e-01 6.325710938635e-01 -3.126738537833e-02 6.333433809397e-01
8.0000000000e-02 5 1 1 2 2 fd_gprime 1.145947361933e-01 -4.615581731933e-02 7.104614589725e-02 -3.277991362874e-02 -4.354859029609e-02 1.337590369059e-02 4.555649806907e-02 6.325710938635e-01 -3.126738537833e-02 6.333433809397e-01
8.0000000000e-02 5 2 2 1 1 fd_gprime 1.145947361933e-01 -4.615581731933e-02 7.104614589725e-02 -3.277991362874e-02 -4.354859029609e-02 1.337590369059e-02 4.555649806907e-02 6.325710938635e-01 -3.126738537833e-02 6.333433809397e-01
8.0000000000e-02 5 1 2 2 1 direct_gddot 1.145947361933e-01 -4.615581731933e-02 7.009029065210e-02 -3.317218253583e-02 -4.450444554124e-02 1.298363478351e-02 4.635968555895e-02 6.265804889383e-01 -3.710334430507e-02 6.276780761480e-01
8.0000000000e-02 5 1 2 1 2 direct_gddot 1.145947361933e-01 -4.615581731933e-02 7.009029065210e-02 -3.317218253583e-02 -4.450444554124e-02 1.298363478351e-02 4.635968555895e-02 6.265804889383e-01 -3.710334430507e-02 6.276780761480e-01
1.0000000000e-01 6 1 1 1 1 fd_gprime 3.226828110583e-01 -1.357256127054e-01 1.960660295931e-01 -8.600711843368e-02 -1.266167814651e-01 4.971849427171e-02 1.360284456327e-01 6.115314045272e-01 -9.317644952264e-03 6.116023849123e-01
1.0000000000e-01 6 2 2 2 2 fd_gprime 3.226828110583e-01 -1.357256127054e-01 1.960660295931e-01 -8.600711843368e-02 -1.266167814651e-01 4.971849427171e-02 1.360284456327e-01 6.115314045272e-01 -9.317644952264e-03 6.116023849123e-01
1.0000000000e-01 6 1 1 2 2 fd_gprime 1.075609370194e-01 -4.524187090180e-02 6.535534319771e-02 -2.866903947789e-02 -4.220559382172e-02 1.657283142390e-02 4.534281521089e-02 6.115314045272e-01 -9.317644952264e-03 6.116023849123e-01
1.0000000000e-01 6 2 2 1 1 fd_gprime 1.075609370194e-01 -4.524187090180e-02 6.535534319771e-02 -2.866903947789e-02 -4.220559382172e-02 1.657283142390e-02 4.534281521089e-02 6.115314045272e-01 -9.317644952264e-03 6.116023849123e-01
1.0000000000e-01 6 1 2 2 1 direct_gddot 1.075609370194e-01 -4.524187090180e-02 6.462883202193e-02 -2.836909368270e-02 -4.293210499749e-02 1.687277721909e-02 4.612869227066e-02 6.047957181657e-01 -9.362170946046e-03 6.048681765115e-01
1.0000000000e-01 6 1 2 1 2 direct_gddot 1.075609370194e-01 -4.524187090180e-02 6.462883202193e-02 -2.836909368270e-02 -4.293210499749e-02 1.687277721909e-02 4.612869227066e-02 6.047957181657e-01 -9.362170946046e-03 6.048681765115e-01
