PHASE_TRACE itr t a b abs_c REAL_c IMAG_c REAL_rhs_diag IMAG_rhs_diag REAL_rhs_local_raw IMAG_rhs_local_raw REAL_rhs_local_app IMAG_rhs_local_app REAL_rhs_mem_core_app IMAG_rhs_mem_core_app REAL_rhs_L0Q_raw IMAG_rhs_L0Q_raw REAL_rhs_L0Q_app IMAG_rhs_L0Q_app REAL_rhs_total IMAG_rhs_total REAL_rhs_heom_fd IMAG_rhs_heom_fd omega_total omega_heom_fd omega_diag omega_local_raw omega_local_app omega_mem_core_app omega_L0Q_raw omega_L0Q_app omega_L0Q_A_raw omega_L0Q_B_raw growth_total growth_heom_fd growth_L0Q_raw growth_L0Q_app
PHASE_TRACE 1 0.0000000000e+00 1 2 +3.535533910000e-01 -3.535533910000e-01 +0.000000000000e+00 -0.000000000000e+00 -5.000000005752e-01 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 -5.000000005752e-01 +3.533011980000e-03 -4.999681390000e-01 +1.414213562373e+00 +1.414123444230e+00 +1.414213562373e+00 -0.000000000000e+00 -0.000000000000e+00 -0.000000000000e+00 -0.000000000000e+00 -0.000000000000e+00 -0.000000000000e+00 -0.000000000000e+00 -0.000000000000e+00 -9.992866904789e-03 +0.000000000000e+00 +0.000000000000e+00 
PHASE_TRACE 2 1.0000000000e-02 1 2 +3.535534125987e-01 -3.535180600000e-01 -4.999681390000e-03 +9.563265044593e-03 -4.999147823559e-01 +0.000000000000e+00 -1.531980521966e-04 +0.000000000000e+00 -1.531980521966e-04 +5.421010862428e-20 +1.769092017614e-05 -2.490282643523e-03 +1.345821027792e-04 -2.490282643523e-03 +1.345821027792e-04 +7.072982401070e-03 -4.999157073851e-01 +7.060451220000e-03 -4.998760370000e-01 +1.414116573543e+00 +1.414003878761e+00 +1.414213562373e+00 +4.332661717331e-04 +4.332661717331e-04 -5.003247201416e-05 -4.802225296124e-04 -4.802225296124e-04 -4.275872000676e-04 -5.263532954475e-05 -8.062063464573e-06 +2.579120860402e-05 +7.037495294806e-03 +7.037495294806e-03 
PHASE_TRACE 3 2.0000000000e-02 1 2 +3.535535614401e-01 -3.534121820000e-01 -9.997520740000e-03 +1.906796128848e-02 -4.996608572056e-01 +0.000000000000e+00 -5.998525902204e-04 +0.000000000000e+00 -5.998525902204e-04 +1.626303258728e-19 +7.035656619309e-05 -4.934403746181e-03 +5.266028958756e-04 -4.934403746181e-03 +5.266028958756e-04 +1.413355754230e-02 -4.996637503337e-01 +1.410579740000e-02 -4.996086810000e-01 +1.413827088050e+00 +1.413669170555e+00 +1.414213562373e+00 +1.695960063235e-03 +1.695960063235e-03 -1.989187483645e-04 -1.883515637833e-03 -1.883515637833e-03 -1.678040189650e-03 -2.054754481827e-04 +3.418369027400e-06 +7.750002268061e-05 +1.390889592914e-02 +1.390889592914e-02 
PHASE_TRACE 4 3.0000000000e-02 1 2 +3.535539400946e-01 -3.532359450000e-01 -1.499185500000e-02 +2.846254158937e-02 -4.992429026494e-01 +0.000000000000e+00 -1.303050763316e-03 +0.000000000000e+00 -1.303050763316e-03 +0.000000000000e+00 +1.568262620547e-04 -7.291459186010e-03 +1.142555669734e-03 -7.291459186010e-03 +1.142555669734e-03 +2.117108240336e-02 -4.992465714809e-01 +2.113067970000e-02 -4.991782870000e-01 +1.413349432774e+00 +1.413151623432e+00 +1.414213562373e+00 +3.682263495966e-03 +3.682263495966e-03 -4.431720054431e-04 -4.103221089887e-03 -4.103221089887e-03 -3.659151015732e-03 -4.440700741546e-04 +4.995912042991e-05 +1.559425995046e-04 +2.046774795356e-02 +2.046774795356e-02 
PHASE_TRACE 5 4.0000000000e-02 1 2 +3.535546335922e-01 -3.529895680000e-01 -1.998108650000e-02 +3.770797164718e-02 -4.986676888269e-01 +0.000000000000e+00 -2.207290585335e-03 +0.000000000000e+00 -2.207290585335e-03 -1.084202172486e-19 +2.753082039693e-04 -9.530274210203e-03 +1.931879243501e-03 -9.530274210203e-03 +1.931879243501e-03 +2.817769743698e-02 -4.986677919648e-01 +2.813236720000e-02 -4.985907630000e-01 +1.412690462469e+00 +1.412465694702e+00 +1.414213562373e+00 +6.233160573022e-03 +6.233160573022e-03 -7.774419253233e-04 -6.978818552237e-03 -6.978818552237e-03 -6.232118234876e-03 -7.467003173615e-04 +1.399273400839e-04 +2.556223534665e-04 +2.660370357756e-02 +2.660370357756e-02 
PHASE_TRACE 6 5.0000000000e-02 1 2 +3.535557088377e-01 -3.526732970000e-01 -2.496367030000e-02 +4.678134431648e-02 -4.979429431906e-01 +0.000000000000e+00 -3.246405049542e-03 +0.000000000000e+00 -3.246405049542e-03 -1.084202172486e-19 +4.235991225378e-04 -1.163243449998e-02 +2.833945464720e-03 -1.163243449998e-02 +2.833945464720e-03 +3.514890981650e-02 -4.979318036529e-01 +3.510826070000e-02 -4.978507290000e-01 +1.411859058233e+00 +1.411622200409e+00 +1.414213562373e+00 +9.159242863320e-03 +9.159242863320e-03 -1.195121120379e-03 -1.031862588304e-02 -1.031862588304e-02 -9.231131189220e-03 -1.087494693817e-03 +2.729841587579e-04 +3.714783633567e-04 +3.225320380716e-02 +3.225320380716e-02 
PHASE_TRACE 7 6.0000000000e-02 1 2 +3.535572149030e-01 -3.522874030000e-01 -2.993810110000e-02 +5.567694083756e-02 -4.970761266286e-01 +0.000000000000e+00 -4.352662299375e-03 +0.000000000000e+00 -4.352662299375e-03 +0.000000000000e+00 +5.993270945092e-04 -1.359346057016e-02 +3.786144508635e-03 -1.359346057016e-02 +3.786144508635e-03 +4.208348026740e-02 -4.970433173249e-01 +4.205587270000e-02 -4.969618400000e-01 +1.410865469195e+00 +1.410629234679e+00 +1.414213562373e+00 +1.226683940379e-02 +1.226683940379e-02 -1.689046545086e-03 -1.392588603727e-02 -1.392588603727e-02 -1.248587766710e-02 -1.440008370163e-03 +4.404153725731e-04 +4.987062861914e-04 +3.740283039887e-02 +3.740283039887e-02 
PHASE_TRACE 8 7.0000000000e-02 1 2 +3.535591828925e-01 -3.518321800000e-01 -3.490290710000e-02 +6.440468085092e-02 -4.960733752402e-01 +1.480663924802e-18 -5.465509190055e-03 +1.480663924802e-18 -5.465509190055e-03 +5.421010862428e-20 +8.001891519286e-04 -1.542201500146e-02 +4.731750420005e-03 -1.542201500146e-02 +4.731750420005e-03 +4.898266584946e-02 -4.960069448583e-01 +4.897280600000e-02 -4.959272430000e-01 +1.409720545570e+00 +1.409493466482e+00 +1.414213562373e+00 +1.538303205766e-02 +1.538303205766e-02 -2.252184553767e-03 -1.762386430736e-02 -1.762386430736e-02 -1.584320226263e-02 -1.780662044730e-03 +6.272291224722e-04 +6.327264285227e-04 +4.208509552139e-02 +4.208509552139e-02 
PHASE_TRACE 9 8.0000000000e-02 1 2 +3.535616294902e-01 -3.513079470000e-01 -3.985664590000e-02 +7.298635118812e-02 -4.949388268029e-01 -2.961312545874e-18 -6.538541794052e-03 -2.961312545874e-18 -6.538541794052e-03 -5.421010862428e-20 +1.024148485359e-03 -1.713734943201e-02 +5.626331914574e-03 -1.713734943201e-02 +5.626331914574e-03 +5.584900175612e-02 -4.948268881970e-01 +5.585674090000e-02 -4.947497610000e-01 +1.408434934178e+00 +1.408220648638e+00 +1.414213562373e+00 +1.837547713048e-02 +1.837547713048e-02 -2.878197870977e-03 -2.127590745462e-02 -2.127590745462e-02 -1.918442509183e-02 -2.091482362797e-03 +8.154973180994e-04 +7.691566448575e-04 +4.636776156501e-02 +4.636776156501e-02 
PHASE_TRACE 10 9.0000000000e-02 1 2 +3.535645554066e-01 -3.507150450000e-01 -4.479790230000e-02 +8.145038608446e-02 -4.936744411637e-01 -9.724921458398e-19 -7.543659140895e-03 -9.724921458398e-19 -7.543659140895e-03 +2.710505431214e-19 +1.269565240129e-03 -1.876547320400e-02 +6.441772749045e-03 -1.876547320400e-02 +6.441772749045e-03 +6.268491288046e-02 -4.935067623155e-01 +6.270542730000e-02 -4.934319920000e-01 +1.407018326175e+00 +1.406815906387e+00 +1.414213562373e+00 +2.116406134551e-02 +2.116406134551e-02 -3.561820082585e-03 -2.479747746124e-02 -2.479747746124e-02 -2.243574513023e-02 -2.361732331002e-03 +9.881430374011e-04 +9.037942138887e-04 +5.033886764512e-02 +5.033886764512e-02 
PHASE_TRACE 11 1.0000000000e-01 1 2 +3.535679475665e-01 -3.500538380000e-01 -4.972528580000e-02 +8.982618676678e-02 -4.922803324907e-01 -2.707178198627e-18 -8.471907733030e-03 -2.707178198627e-18 -8.471907733030e-03 -5.421010862428e-20 +1.535248102227e-03 -2.033471134253e-02 +7.167420902611e-03 -2.033471134253e-02 +7.167420902611e-03 +6.949147542426e-02 -4.920495712189e-01 +6.951667840000e-02 -4.919763730000e-01 +1.405478856046e+00 +1.405283911361e+00 +1.414213562373e+00 +2.372303698357e-02 +2.372303698357e-02 -4.299001907930e-03 -2.815874140301e-02 -2.815874140301e-02 -2.557050406128e-02 -2.588237341731e-03 +1.132289766453e-03 +1.032600369767e-03 +5.409027933153e-02 +5.409027933153e-02 
PHASE_TRACE 12 1.1000000000e-01 1 2 +3.535717783413e-01 -3.493247110000e-01 -5.463742970000e-02 +9.813899561358e-02 -4.907554938167e-01 -5.082098630815e-19 -9.331143082554e-03 -5.082098630815e-19 -9.331143082554e-03 -3.794707603699e-19 +1.820428381183e-03 -2.187138626639e-02 +7.808407314374e-03 -2.187138626639e-02 +7.808407314374e-03 +7.626760934719e-02 -4.904578012037e-01 +7.628836610000e-02 -4.903852210000e-01 +1.403822741497e+00 +1.403629001945e+00 +1.414213562373e+00 +2.607407867187e-02 +2.607407867187e-02 -5.086835815025e-03 -3.137806373329e-02 -3.137806373329e-02 -2.860360740070e-02 -2.774456332591e-03 +1.241415190329e-03 +1.151692983548e-03 +5.770267284367e-02 +5.770267284367e-02 
PHASE_TRACE 13 1.2000000000e-01 1 2 +3.535760076662e-01 -3.485280710000e-01 -5.953299020000e-02 +1.064061658800e-01 -4.890987270359e-01 +0.000000000000e+00 -1.014119954642e-02 +0.000000000000e+00 -1.014119954642e-02 +5.421010862428e-20 +2.124671385310e-03 -2.339629700180e-02 +8.381663823026e-03 -2.339629700180e-02 +8.381663823026e-03 +8.300986887823e-02 -4.887335913740e-01 +8.301841810000e-02 -4.886607670000e-01 +1.402054225722e+00 +1.401855272155e+00 +1.414213562373e+00 +2.827232440546e-02 +2.827232440546e-02 -5.923303095014e-03 -3.450835796130e-02 -3.450835796130e-02 -3.157978734693e-02 -2.928570614369e-03 +1.315852695162e-03 +1.257339409552e-03 +6.123441134665e-02 +6.123441134665e-02 
PHASE_TRACE 14 1.3000000000e-01 1 2 +3.535805800604e-01 -3.476643430000e-01 -6.441064510000e-02 +1.146353488783e-01 -4.873095341753e-01 +0.000000000000e+00 -1.092766449658e-02 +0.000000000000e+00 -1.092766449658e-02 +1.084202172486e-19 +2.447749239079e-03 -2.492249642198e-02 +8.910536581976e-03 -2.492249642198e-02 +8.910536581976e-03 +8.971285245635e-02 -4.868789128508e-01 +8.970481430000e-02 -4.868051720000e-01 +1.400175835540e+00 +1.399966629260e+00 +1.414213562373e+00 +3.038860022716e-02 +3.038860022716e-02 -6.806914057983e-03 -3.761941300275e-02 -3.761941300275e-02 -3.455839023628e-02 -3.061022766469e-03 +1.361590205361e-03 +1.345951687367e-03 +6.471588535091e-02 +6.471588535091e-02 
PHASE_TRACE 15 1.4000000000e-01 1 2 +3.535854296404e-01 -3.467339740000e-01 -6.926909360000e-02 +1.228247243765e-01 -4.853887737757e-01 +0.000000000000e+00 -1.171552629777e-02 +0.000000000000e+00 -1.171552629777e-02 +2.168404344971e-19 +2.789503445163e-03 -2.645461562015e-02 +9.419072574240e-03 -2.645461562015e-02 +9.419072574240e-03 +9.637010875639e-02 -4.848957240541e-01 +9.634558530000e-02 -4.848205470000e-01 +1.398188912137e+00 +1.397966831138e+00 +1.414213562373e+00 +3.249147889621e-02 +3.249147889621e-02 -7.736322723863e-03 -4.077980640887e-02 -4.077980640887e-02 -3.759779997804e-02 -3.182006430824e-03 +1.387720572426e-03 +1.414081147379e-03 +6.814975504253e-02 +6.814975504253e-02 
PHASE_TRACE 16 1.5000000000e-01 1 2 +3.535904791471e-01 -3.457374310000e-01 -7.410705600000e-02 +1.309649976899e-01 -4.833389167456e-01 +0.000000000000e+00 -1.252388538770e-02 +0.000000000000e+00 -1.252388538770e-02 +5.421010862428e-19 +3.149724008541e-03 -2.798970248782e-02 +9.927028089724e-03 -2.798970248782e-02 +9.927028089724e-03 +1.029752952021e-01 -4.827860500350e-01 +1.029388100000e-01 -4.827089630000e-01 +1.396094314746e+00 +1.395859518535e+00 +1.414213562373e+00 +3.463254123504e-02 +3.463254123504e-02 -8.709992404748e-03 -4.404179645750e-02 -4.404179645750e-02 -4.074241998532e-02 -3.299376472182e-03 +1.403216194136e-03 +1.458417466507e-03 +7.151639479672e-02 +7.151639479672e-02 
PHASE_TRACE 17 1.6000000000e-01 1 2 +3.535956378713e-01 -3.446751980000e-01 -7.892327290000e-02 +1.390425741857e-01 -4.811638639331e-01 +0.000000000000e+00 -1.336261323841e-02 +0.000000000000e+00 -1.336261323841e-02 +1.084202172486e-19 +3.528065517176e-03 -2.951928085616e-02 +1.044642595716e-02 -2.951928085616e-02 +1.044642595716e-02 +1.095232933296e-01 -4.805519856972e-01 +1.094826160000e-01 -4.804724570000e-01 +1.393893158882e+00 +1.393648241758e+00 +1.414213562373e+00 +3.683728676260e-02 +3.683728676260e-02 -9.725968929482e-03 -4.743172132445e-02 -4.743172132445e-02 -4.401439250083e-02 -3.417328823618e-03 +1.413843656662e-03 +1.475779266412e-03 +7.478290959002e-02 +7.478290959002e-02 
