POP_DECOMP_TRACE itr t a p_a REAL_rhs_diag IMAG_rhs_diag REAL_local_A_raw IMAG_local_A_raw REAL_local_B_raw IMAG_local_B_raw REAL_local_raw IMAG_local_raw REAL_local_A_app IMAG_local_A_app REAL_local_B_app IMAG_local_B_app REAL_local_app IMAG_local_app REAL_mem_b1_pop_app IMAG_mem_b1_pop_app REAL_mem_b1_coh_app IMAG_mem_b1_coh_app REAL_mem_b2_pop_app IMAG_mem_b2_pop_app REAL_mem_b2_coh_app IMAG_mem_b2_coh_app REAL_mem_b3_pop_app IMAG_mem_b3_pop_app REAL_mem_b3_coh_app IMAG_mem_b3_coh_app REAL_mem_b4_pop_app IMAG_mem_b4_pop_app REAL_mem_b4_coh_app IMAG_mem_b4_coh_app REAL_mem_pop_app IMAG_mem_pop_app REAL_mem_coh_app IMAG_mem_coh_app REAL_mem_core_app IMAG_mem_core_app REAL_rhs_total IMAG_rhs_total REAL_dp_HEOM IMAG_dp_HEOM REAL_diff IMAG_diff REAL_diff_minus_local_app IMAG_diff_minus_local_app REAL_diff_minus_mem_coh_app IMAG_diff_minus_mem_coh_app REAL_diff_minus_local_and_mem_coh_app IMAG_diff_minus_local_and_mem_coh_app
POP_DECOMP_TRACE 1 0.0000000000e+00 1 +1.464466090000e-01 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +2.404362550000e-06 +0.000000000000e+00 -2.404362550000e-06 +0.000000000000e+00 -2.404362550000e-06 +0.000000000000e+00 -2.404362550000e-06 +0.000000000000e+00 -2.404362550000e-06 +0.000000000000e+00
POP_DECOMP_TRACE 2 1.0000000000e-02 1 +1.464466330000e-01 +0.000000000000e+00 +0.000000000000e+00 -1.246323907655e-03 +1.762631998777e-05 -1.246323907655e-03 -1.762631998777e-05 -2.492647815311e-03 +0.000000000000e+00 -1.246323907655e-03 +1.762631998777e-05 -1.246323907655e-03 -1.762631998777e-05 -2.492647815311e-03 +0.000000000000e+00 -2.574969905660e-04 +1.294771563349e-05 +0.000000000000e+00 +0.000000000000e+00 -2.574969905660e-04 -1.294771563349e-05 +0.000000000000e+00 +0.000000000000e+00 +1.502638229350e-03 -5.434603624608e-05 +0.000000000000e+00 +0.000000000000e+00 +1.502638229350e-03 +5.434603624608e-05 +0.000000000000e+00 +0.000000000000e+00 +2.490282477568e-03 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +2.490282477568e-03 +0.000000000000e+00 -2.365337743163e-06 +0.000000000000e+00 +9.726641900000e-06 +0.000000000000e+00 -1.209197964316e-05 +0.000000000000e+00 +2.480555835668e-03 +0.000000000000e+00 -1.209197964316e-05 +0.000000000000e+00 +2.480555835668e-03 +0.000000000000e+00
POP_DECOMP_TRACE 3 2.0000000000e-02 1 +1.464468040000e-01 +0.000000000000e+00 +0.000000000000e+00 -2.464665933932e-03 +6.972184335078e-05 -2.464665933932e-03 -6.972184335078e-05 -4.929331867865e-03 +0.000000000000e+00 -2.464665933932e-03 +6.972184335078e-05 -2.464665933932e-03 -6.972184335078e-05 -4.929331867865e-03 +0.000000000000e+00 -5.087572012624e-04 +5.073057123117e-05 +0.000000000000e+00 +0.000000000000e+00 -5.087572012624e-04 -5.073057123117e-05 +0.000000000000e+00 +0.000000000000e+00 +2.975958711536e-03 -2.125759256954e-04 +0.000000000000e+00 +0.000000000000e+00 +2.975958711536e-03 +2.125759256954e-04 +0.000000000000e+00 +0.000000000000e+00 +4.934403020548e-03 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +4.934403020548e-03 +0.000000000000e+00 +5.071152683063e-06 +0.000000000000e+00 +3.200505000000e-05 +0.000000000000e+00 -2.693389731694e-05 +0.000000000000e+00 +4.902397970548e-03 +0.000000000000e+00 -2.693389731694e-05 +0.000000000000e+00 +4.902397970548e-03 +0.000000000000e+00
POP_DECOMP_TRACE 4 3.0000000000e-02 1 +1.464472740000e-01 +0.000000000000e+00 +0.000000000000e+00 -3.630428461619e-03 +1.540807436357e-04 -3.630428461619e-03 -1.540807436357e-04 -7.260856923239e-03 +0.000000000000e+00 -3.630428461619e-03 +1.540807436357e-04 -3.630428461619e-03 -1.540807436357e-04 -7.260856923239e-03 +0.000000000000e+00 -7.483311634907e-04 +1.103310946709e-04 +0.000000000000e+00 +0.000000000000e+00 -7.483311634907e-04 -1.103310946709e-04 +0.000000000000e+00 +0.000000000000e+00 +4.394061116289e-03 -4.609380708564e-04 +0.000000000000e+00 +0.000000000000e+00 +4.394061116289e-03 +4.609380708564e-04 +0.000000000000e+00 +0.000000000000e+00 +7.291459905597e-03 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +7.291459905597e-03 +0.000000000000e+00 +3.060298235810e-05 +0.000000000000e+00 +6.980180830000e-05 +0.000000000000e+00 -3.919882594190e-05 +0.000000000000e+00 +7.221658097297e-03 +0.000000000000e+00 -3.919882594190e-05 +0.000000000000e+00 +7.221658097297e-03 +0.000000000000e+00
POP_DECOMP_TRACE 5 4.0000000000e-02 1 +1.464482000000e-01 +0.000000000000e+00 +0.000000000000e+00 -4.725224063967e-03 +2.674728074514e-04 -4.725224063967e-03 -2.674728074514e-04 -9.450448127935e-03 +0.000000000000e+00 -4.725224063967e-03 +2.674728074514e-04 -4.725224063967e-03 -2.674728074514e-04 -9.450448127935e-03 +0.000000000000e+00 -9.722088825018e-04 +1.872346279580e-04 +0.000000000000e+00 +0.000000000000e+00 -9.722088825018e-04 -1.872346279580e-04 +0.000000000000e+00 +0.000000000000e+00 +5.737351229298e-03 -7.786448337446e-04 +0.000000000000e+00 +0.000000000000e+00 +5.737351229298e-03 +7.786448337446e-04 +0.000000000000e+00 +0.000000000000e+00 +9.530284693592e-03 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +9.530284693592e-03 +0.000000000000e+00 +7.983656565704e-05 +0.000000000000e+00 +1.235890740000e-04 +0.000000000000e+00 -4.375250834296e-05 +0.000000000000e+00 +9.406695619592e-03 +0.000000000000e+00 -4.375250834296e-05 +0.000000000000e+00 +9.406695619592e-03 +0.000000000000e+00
POP_DECOMP_TRACE 6 5.0000000000e-02 1 +1.464497450000e-01 +0.000000000000e+00 +0.000000000000e+00 -5.738691605804e-03 +4.062082568181e-04 -5.738691605804e-03 -4.062082568181e-04 -1.147738321161e-02 +0.000000000000e+00 -5.738691605804e-03 +4.062082568181e-04 -5.738691605804e-03 -4.062082568181e-04 -1.147738321161e-02 +0.000000000000e+00 -1.178228202072e-03 +2.761014582992e-04 +0.000000000000e+00 +0.000000000000e+00 -1.178228202072e-03 -2.761014582992e-04 +0.000000000000e+00 +0.000000000000e+00 +6.994464156401e-03 -1.140698888818e-03 +0.000000000000e+00 +0.000000000000e+00 +6.994464156401e-03 +1.140698888818e-03 +0.000000000000e+00 +0.000000000000e+00 +1.163247190866e-02 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +1.163247190866e-02 +0.000000000000e+00 +1.550886970519e-04 +0.000000000000e+00 +1.937784330000e-04 +0.000000000000e+00 -3.868973594810e-05 +0.000000000000e+00 +1.143869347566e-02 +0.000000000000e+00 -3.868973594810e-05 +0.000000000000e+00 +1.143869347566e-02 +0.000000000000e+00
POP_DECOMP_TRACE 7 6.0000000000e-02 1 +1.464520760000e-01 +0.000000000000e+00 +0.000000000000e+00 -6.669036115120e-03 +5.667482735794e-04 -6.669036115120e-03 -5.667482735794e-04 -1.333807223024e-02 +0.000000000000e+00 -6.669036115120e-03 +5.667482735794e-04 -6.669036115120e-03 -5.667482735794e-04 -1.333807223024e-02 +0.000000000000e+00 -1.366177563041e-03 +3.715293726154e-04 +0.000000000000e+00 +0.000000000000e+00 -1.366177563041e-03 -3.715293726154e-04 +0.000000000000e+00 +0.000000000000e+00 +8.162952544067e-03 -1.521176939617e-03 +0.000000000000e+00 +0.000000000000e+00 +8.162952544067e-03 +1.521176939617e-03 +0.000000000000e+00 +0.000000000000e+00 +1.359354996205e-02 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +1.359354996205e-02 +0.000000000000e+00 +2.554777318127e-04 +0.000000000000e+00 +2.807270240000e-04 +0.000000000000e+00 -2.524929218734e-05 +0.000000000000e+00 +1.331282293805e-02 +0.000000000000e+00 -2.524929218734e-05 +0.000000000000e+00 +1.331282293805e-02 +0.000000000000e+00
POP_DECOMP_TRACE 8 7.0000000000e-02 1 +1.464553600000e-01 +0.000000000000e+00 +0.000000000000e+00 -7.522258131926e-03 +7.462326975345e-04 -7.522258131926e-03 -7.462326975345e-04 -1.504451626385e-02 +0.000000000000e+00 -7.522258131926e-03 +7.462326975345e-04 -7.522258131926e-03 -7.462326975345e-04 -1.504451626385e-02 +0.000000000000e+00 -1.537589245494e-03 +4.687719155100e-04 +0.000000000000e+00 +0.000000000000e+00 -1.537589245494e-03 -4.687719155100e-04 +0.000000000000e+00 +0.000000000000e+00 +9.248681402762e-03 -1.896445511268e-03 +0.000000000000e+00 +0.000000000000e+00 +9.248681402762e-03 +1.896445511268e-03 +0.000000000000e+00 +0.000000000000e+00 +1.542218431454e-02 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +1.542218431454e-02 +0.000000000000e+00 +3.776680506833e-04 +0.000000000000e+00 +3.847497800000e-04 +0.000000000000e+00 -7.081729316685e-06 +0.000000000000e+00 +1.503743453454e-02 +0.000000000000e+00 -7.081729316685e-06 +0.000000000000e+00 +1.503743453454e-02 +0.000000000000e+00
POP_DECOMP_TRACE 9 8.0000000000e-02 1 +1.464597710000e-01 +0.000000000000e+00 +0.000000000000e+00 -8.310271002821e-03 +9.428182069917e-04 -8.310271002821e-03 -9.428182069917e-04 -1.662054200564e-02 +0.000000000000e+00 -8.310271002821e-03 +9.428182069917e-04 -8.310271002821e-03 -9.428182069917e-04 -1.662054200564e-02 +0.000000000000e+00 -1.695276305511e-03 +5.642910032220e-04 +0.000000000000e+00 +0.000000000000e+00 -1.695276305511e-03 -5.642910032220e-04 +0.000000000000e+00 +0.000000000000e+00 +1.026408714633e-02 -2.247812595424e-03 +0.000000000000e+00 +0.000000000000e+00 +1.026408714633e-02 +2.247812595424e-03 +0.000000000000e+00 +0.000000000000e+00 +1.713762168164e-02 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +1.713762168164e-02 +0.000000000000e+00 +5.170796759937e-04 +0.000000000000e+00 +5.061259400000e-04 +0.000000000000e+00 +1.095373599374e-05 +0.000000000000e+00 +1.663149574164e-02 +0.000000000000e+00 +1.095373599374e-05 +0.000000000000e+00 +1.663149574164e-02 +0.000000000000e+00
POP_DECOMP_TRACE 10 9.0000000000e-02 1 +1.464654820000e-01 +0.000000000000e+00 +0.000000000000e+00 -9.048292542968e-03 +1.155766001774e-03 -9.048292542968e-03 -1.155766001774e-03 -1.809658508594e-02 +0.000000000000e+00 -9.048292542968e-03 +1.155766001774e-03 -9.048292542968e-03 -1.155766001774e-03 -1.809658508594e-02 +0.000000000000e+00 -1.842711251274e-03 +6.560589296054e-04 +0.000000000000e+00 +0.000000000000e+00 -1.842711251274e-03 -6.560589296054e-04 +0.000000000000e+00 +0.000000000000e+00 +1.122564053554e-02 -2.563233269734e-03 +0.000000000000e+00 +0.000000000000e+00 +1.122564053554e-02 +2.563233269734e-03 +0.000000000000e+00 +0.000000000000e+00 +1.876585856853e-02 +0.000000000000e+00 +0.000000000000e+00 +0.000000000000e+00 +1.876585856853e-02 +0.000000000000e+00 +6.692734825976e-04 +0.000000000000e+00 +6.451035920000e-04 +0.000000000000e+00 +2.416989059760e-05 +0.000000000000e+00 +1.812075497653e-02 +0.000000000000e+00 +2.416989059760e-05 +0.000000000000e+00 +1.812075497653e-02 +0.000000000000e+00
