POP_RHS_TRACE itr t a p_a REAL_Raa_RMRT IMAG_Raa_RMRT REAL_dp_a_HEOM IMAG_dp_a_HEOM REAL_R_minus_dp IMAG_R_minus_dp
POP_RHS_TRACE 1 0.0000000000e+00 2 +8.535533910000e-01 +0.000000000000e+00 +0.000000000000e+00 -2.404362540000e-06 +0.000000000000e+00 +2.404362540000e-06 +0.000000000000e+00
POP_RHS_TRACE 1 0.0000000000e+00 1 +1.464466090000e-01 +0.000000000000e+00 +0.000000000000e+00 +2.404362550000e-06 +0.000000000000e+00 -2.404362550000e-06 +0.000000000000e+00
POP_RHS_TRACE 2 1.0000000000e-02 1 +1.464466330000e-01 -2.365171787735e-06 +0.000000000000e+00 +9.726641900000e-06 +0.000000000000e+00 -1.209181368774e-05 +0.000000000000e+00
POP_RHS_TRACE 2 1.0000000000e-02 2 +8.535533670000e-01 +2.365171787735e-06 +0.000000000000e+00 -9.726641900000e-06 +0.000000000000e+00 +1.209181368774e-05 +0.000000000000e+00
POP_RHS_TRACE 3 2.0000000000e-02 1 +1.464468040000e-01 +5.071878316147e-06 +0.000000000000e+00 +3.200505000000e-05 +0.000000000000e+00 -2.693317168385e-05 +0.000000000000e+00
POP_RHS_TRACE 3 2.0000000000e-02 2 +8.535531960000e-01 -5.071878316147e-06 +0.000000000000e+00 -3.200505000000e-05 +0.000000000000e+00 +2.693317168385e-05 +0.000000000000e+00
POP_RHS_TRACE 4 3.0000000000e-02 1 +1.464472740000e-01 +3.060226277130e-05 +0.000000000000e+00 +6.980180830000e-05 +0.000000000000e+00 -3.919954552870e-05 +0.000000000000e+00
POP_RHS_TRACE 4 3.0000000000e-02 2 +8.535527260000e-01 -3.060226277130e-05 +0.000000000000e+00 -6.980180830000e-05 +0.000000000000e+00 +3.919954552870e-05 +0.000000000000e+00
POP_RHS_TRACE 5 4.0000000000e-02 1 +1.464482000000e-01 +7.982608226831e-05 +0.000000000000e+00 +1.235890740000e-04 +0.000000000000e+00 -4.376299173169e-05 +0.000000000000e+00
POP_RHS_TRACE 5 4.0000000000e-02 2 +8.535518000000e-01 -7.982608226831e-05 +0.000000000000e+00 -1.235890740000e-04 +0.000000000000e+00 +4.376299173169e-05 +0.000000000000e+00
POP_RHS_TRACE 6 5.0000000000e-02 1 +1.464497450000e-01 +1.550512883713e-04 +0.000000000000e+00 +1.937784330000e-04 +0.000000000000e+00 -3.872714462872e-05 +0.000000000000e+00
POP_RHS_TRACE 6 5.0000000000e-02 2 +8.535502550000e-01 -1.550512883713e-04 +0.000000000000e+00 -1.937784330000e-04 +0.000000000000e+00 +3.872714462872e-05 +0.000000000000e+00
POP_RHS_TRACE 7 6.0000000000e-02 2 +8.535479240000e-01 -2.553883399171e-04 +0.000000000000e+00 -2.807270240000e-04 +0.000000000000e+00 +2.533868408293e-05 +0.000000000000e+00
POP_RHS_TRACE 7 6.0000000000e-02 1 +1.464520760000e-01 +2.553883399171e-04 +0.000000000000e+00 +2.807270240000e-04 +0.000000000000e+00 -2.533868408293e-05 +0.000000000000e+00
POP_RHS_TRACE 8 7.0000000000e-02 1 +1.464553600000e-01 +3.774987376090e-04 +0.000000000000e+00 +3.847497800000e-04 +0.000000000000e+00 -7.251042390977e-06 +0.000000000000e+00
