POP_RHS_TRACE itr t a p_a REAL_Raa_RMRT IMAG_Raa_RMRT REAL_dp_a_HEOM IMAG_dp_a_HEOM REAL_R_minus_dp IMAG_R_minus_dp
POP_RHS_TRACE 1 0.0000000000e+00 2 +8.535533910000e-01 +0.000000000000e+00 +0.000000000000e+00 -2.404362540000e-06 +0.000000000000e+00 +2.404362540000e-06 +0.000000000000e+00
POP_RHS_TRACE 2 1.0000000000e-02 2 +8.535533670000e-01 +2.365337743163e-06 +0.000000000000e+00 -9.726641900000e-06 +0.000000000000e+00 +1.209197964316e-05 +0.000000000000e+00
POP_RHS_TRACE 3 2.0000000000e-02 2 +8.535531960000e-01 -5.071152683064e-06 +0.000000000000e+00 -3.200505000000e-05 +0.000000000000e+00 +2.693389731694e-05 +0.000000000000e+00
POP_RHS_TRACE 4 3.0000000000e-02 2 +8.535527260000e-01 -3.060298235809e-05 +0.000000000000e+00 -6.980180830000e-05 +0.000000000000e+00 +3.919882594191e-05 +0.000000000000e+00
POP_RHS_TRACE 5 4.0000000000e-02 2 +8.535518000000e-01 -7.983656565704e-05 +0.000000000000e+00 -1.235890740000e-04 +0.000000000000e+00 +4.375250834296e-05 +0.000000000000e+00
POP_RHS_TRACE 6 5.0000000000e-02 2 +8.535502550000e-01 -1.550886970519e-04 +0.000000000000e+00 -1.937784330000e-04 +0.000000000000e+00 +3.868973594809e-05 +0.000000000000e+00
POP_RHS_TRACE 7 6.0000000000e-02 2 +8.535479240000e-01 -2.554777318127e-04 +0.000000000000e+00 -2.807270240000e-04 +0.000000000000e+00 +2.524929218734e-05 +0.000000000000e+00
POP_RHS_TRACE 8 7.0000000000e-02 2 +8.535446400000e-01 -3.776680506833e-04 +0.000000000000e+00 -3.847497800000e-04 +0.000000000000e+00 +7.081729316682e-06 +0.000000000000e+00
POP_RHS_TRACE 9 8.0000000000e-02 2 +8.535402290000e-01 -5.170796759938e-04 +0.000000000000e+00 -5.061259400000e-04 +0.000000000000e+00 -1.095373599375e-05 +0.000000000000e+00
POP_RHS_TRACE 10 9.0000000000e-02 2 +8.535345180000e-01 -6.692734825976e-04 +0.000000000000e+00 -6.451035920000e-04 +0.000000000000e+00 -2.416989059761e-05 +0.000000000000e+00
POP_RHS_TRACE 11 1.0000000000e-01 2 +8.535273270000e-01 -8.311888865061e-04 +0.000000000000e+00 -8.019029830000e-04 +0.000000000000e+00 -2.928590350614e-05 +0.000000000000e+00
POP_RHS_TRACE 12 1.1000000000e-01 2 +8.535184800000e-01 -1.001954934334e-03 +0.000000000000e+00 -9.767190660000e-04 +0.000000000000e+00 -2.523586833389e-05 +0.000000000000e+00
POP_RHS_TRACE 13 1.2000000000e-01 2 +8.535077930000e-01 -1.183103524775e-03 +0.000000000000e+00 -1.169723520000e-03 +0.000000000000e+00 -1.338000477491e-05 +0.000000000000e+00
POP_RHS_TRACE 14 1.3000000000e-01 2 +8.534950850000e-01 -1.378160957748e-03 +0.000000000000e+00 -1.381066410000e-03 +0.000000000000e+00 +2.905452251585e-06 +0.000000000000e+00
POP_RHS_TRACE 15 1.4000000000e-01 2 +8.534801720000e-01 -1.591742019560e-03 -8.673617379884e-21 -1.610877560000e-03 +0.000000000000e+00 +1.913554043997e-05 -8.673617379884e-21
POP_RHS_TRACE 16 1.5000000000e-01 2 +8.534628680000e-01 -1.828388257918e-03 -6.071532165919e-20 -1.859267720000e-03 +0.000000000000e+00 +3.087946208217e-05 -6.071532165919e-20
POP_RHS_TRACE 17 1.6000000000e-01 2 +8.534429860000e-01 -2.091446277379e-03 -5.204170427930e-20 -2.126329540000e-03 +0.000000000000e+00 +3.488326262091e-05 -5.204170427930e-20
POP_RHS_TRACE 18 1.7000000000e-01 2 +8.534203410000e-01 -2.382263837982e-03 +0.000000000000e+00 -2.412138520000e-03 +0.000000000000e+00 +2.987468201784e-05 +0.000000000000e+00
POP_RHS_TRACE 19 1.8000000000e-01 2 +8.533947440000e-01 -2.699898027301e-03 +0.000000000000e+00 -2.716753670000e-03 +0.000000000000e+00 +1.685564269858e-05 +0.000000000000e+00
POP_RHS_TRACE 20 1.9000000000e-01 2 +8.533660060000e-01 -3.041397896869e-03 +1.387778780781e-19 -3.040218310000e-03 +0.000000000000e+00 -1.179586868660e-06 +1.387778780781e-19
POP_RHS_TRACE 21 2.0000000000e-01 2 +8.533339390000e-01 -3.402581960609e-03 -3.469446951954e-20 -3.382560580000e-03 +0.000000000000e+00 -2.002138060945e-05 -3.469446951954e-20
POP_RHS_TRACE 22 2.1000000000e-01 2 +8.532983550000e-01 -3.779109865827e-03 +6.938893903907e-20 -3.743794070000e-03 +0.000000000000e+00 -3.531579582707e-05 +6.938893903907e-20
POP_RHS_TRACE 23 2.2000000000e-01 2 +8.532590630000e-01 -4.167576970717e-03 +3.469446951954e-20 -4.123918300000e-03 +0.000000000000e+00 -4.365867071726e-05 +3.469446951954e-20
POP_RHS_TRACE 24 2.3000000000e-01 2 +8.532158760000e-01 -4.566360522606e-03 +0.000000000000e+00 -4.522919190000e-03 +0.000000000000e+00 -4.344133260645e-05 +0.000000000000e+00
POP_RHS_TRACE 25 2.4000000000e-01 2 +8.531686050000e-01 -4.976009957772e-03 -3.469446951954e-20 -4.940769480000e-03 +0.000000000000e+00 -3.524047777173e-05 -3.469446951954e-20
POP_RHS_TRACE 26 2.5000000000e-01 2 +8.531170610000e-01 -5.399088585329e-03 -3.469446951954e-20 -5.377429180000e-03 +0.000000000000e+00 -2.165940532927e-05 -3.469446951954e-20
POP_RHS_TRACE 27 2.6000000000e-01 2 +8.530610560000e-01 -5.839513312113e-03 +0.000000000000e+00 -5.832845890000e-03 +0.000000000000e+00 -6.667422113430e-06 +0.000000000000e+00
POP_RHS_TRACE 28 2.7000000000e-01 2 +8.530004040000e-01 -6.301560061408e-03 +6.938893903907e-20 -6.306955200000e-03 +0.000000000000e+00 +5.395138592262e-06 +6.938893903907e-20
POP_RHS_TRACE 29 2.8000000000e-01 2 +8.529349170000e-01 -6.788784569149e-03 -6.938893903907e-20 -6.799681010000e-03 +0.000000000000e+00 +1.089644085102e-05 -6.938893903907e-20
POP_RHS_TRACE 30 2.9000000000e-01 2 +8.528644100000e-01 -7.303127508914e-03 +5.204170427930e-20 -7.310935860000e-03 +0.000000000000e+00 +7.808351086277e-06 +5.204170427930e-20
POP_RHS_TRACE 31 3.0000000000e-01 2 +8.527886990000e-01 -7.844423283113e-03 +1.734723475977e-20 -7.840621230000e-03 +0.000000000000e+00 -3.802053113105e-06 +1.734723475977e-20
POP_RHS_TRACE 32 3.1000000000e-01 2 +8.527075980000e-01 -8.410431529044e-03 -1.734723475977e-20 -8.388627850000e-03 +0.000000000000e+00 -2.180367904448e-05 -1.734723475977e-20
POP_RHS_TRACE 33 3.2000000000e-01 2 +8.526209260000e-01 -8.997378175077e-03 +1.040834085586e-19 -8.954835980000e-03 +0.000000000000e+00 -4.254219507658e-05 +1.040834085586e-19
POP_RHS_TRACE 34 3.3000000000e-01 2 +8.525285010000e-01 -9.600870413429e-03 -3.469446951954e-20 -9.539115660000e-03 +0.000000000000e+00 -6.175475342907e-05 -3.469446951954e-20
POP_RHS_TRACE 35 3.4000000000e-01 2 +8.524301440000e-01 -1.021695446666e-02 -6.938893903907e-20 -1.014132700000e-02 +0.000000000000e+00 -7.562746666032e-05 -6.938893903907e-20
POP_RHS_TRACE 36 3.5000000000e-01 2 +8.523256750000e-01 -1.084305582888e-02 -1.040834085586e-19 -1.076132050000e-02 +0.000000000000e+00 -8.173532888013e-05 -1.040834085586e-19
