# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53578328e-01    -5.00017637e-03     3.53613681e-01    -3.12745196e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.020000     1.00000000e+00     2.69175008e-06     1.46421683e-01     8.53578322e-01    -3.53532052e-01    -1.00014118e-02     3.53673494e-01    -3.11331023e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.030000     1.00000004e+00     1.32243805e-05     1.46372404e-01     8.53627635e-01    -3.53414169e-01    -1.50030067e-02     3.53732477e-01    -3.09916650e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.040000     1.00000015e+00     3.60772557e-05     1.46299859e-01     8.53700290e-01    -3.53224479e-01    -2.00041375e-02     3.53790472e-01    -3.08502015e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.050000     1.00000040e+00     7.47191048e-05     1.46205521e-01     8.53794878e-01    -3.52962989e-01    -2.50038121e-02     3.53847513e-01    -3.07087104e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.060000     1.00000087e+00     1.31406890e-04     1.46091081e-01     8.53909784e-01    -3.52629898e-01    -3.00008513e-02     3.53903795e-01    -3.05671959e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.070000     1.00000163e+00     2.07146355e-04     1.45958276e-01     8.54043358e-01    -3.52225555e-01    -3.49938944e-02     3.53959623e-01    -3.04256680e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.080000     1.00000280e+00     3.01809834e-04     1.45808729e-01     8.54194068e-01    -3.51750412e-01    -3.99814297e-02     3.54015349e-01    -3.02841419e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.090000     1.00000445e+00     4.14382199e-04     1.45643827e-01     8.54360620e-01    -3.51204968e-01    -4.49618407e-02     3.54071316e-01    -3.01426361e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
