# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446601e-01     8.53553399e-01    -3.53518027e-01    -4.99978052e-03     3.53553381e-01    -3.12745067e+00     8.67361738e-19     0.00000000e+00    -6.07556794e-06     6.07556794e-06     7.07683299e-03    -4.99864209e-01     4.99914302e-01    -1.55663976e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446624e-01     8.53553376e-01    -3.53411996e-01    -9.99684897e-03     3.53553357e-01    -3.11331352e+00    -1.73472348e-18     5.14365685e-29     1.23774190e-05    -1.23774190e-05     1.41253026e-02    -4.99458875e-01     4.99658575e-01    -1.54252265e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46447033e-01     8.53552967e-01    -3.53235712e-01    -1.49885356e-02     3.53553567e-01    -3.09918598e+00     0.00000000e+00     7.05910035e-29     7.60941558e-05    -7.60941558e-05     2.11209012e-02    -4.98790182e-01     4.99237156e-01    -1.52847735e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46448363e-01     8.53551637e-01    -3.52989802e-01    -1.99722502e-02     3.53554368e-01    -3.08507267e+00     0.00000000e+00    -2.77382202e-25     1.99044896e-04    -1.99044896e-04     2.80460037e-02    -4.97867550e-01     4.98656871e-01    -1.51452354e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46451243e-01     8.53548757e-01    -3.52675027e-01    -2.49455087e-02     3.53556153e-01    -3.07097798e+00     0.00000000e+00     5.41295688e-22     3.86924982e-04    -3.86924982e-04     3.48914160e-02    -4.96702486e-01     4.97926471e-01    -1.50066542e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46456322e-01     8.53543678e-01    -3.52292200e-01    -2.99059481e-02     3.53559273e-01    -3.05690608e+00     0.00000000e+00     7.89423077e-26     6.37398475e-04    -6.37398475e-04     4.16561527e-02    -4.95307321e-01     4.97055909e-01    -1.48689215e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46464188e-01     8.53535812e-01    -3.51842106e-01    -3.48513286e-02     3.53563973e-01    -3.04286083e+00     0.00000000e+00    -4.02985563e-24     9.41985642e-04    -9.41985642e-04     4.83455518e-02    -4.93694048e-01     4.96055546e-01    -1.47318142e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46475327e-01     8.53524673e-01    -3.51325459e-01    -3.97795249e-02     3.53570345e-01    -3.02884584e+00     0.00000000e+00     2.86028036e-25     1.28911221e-03    -1.28911221e-03     5.49682140e-02    -4.91873468e-01     4.94935362e-01    -1.45950533e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46490106e-01     8.53509894e-01    -3.50742881e-01    -4.46885121e-02     3.53578325e-01    -3.01486443e+00     0.00000000e+00     1.38751054e-19     1.66758496e-03    -1.66758496e-03     6.15325056e-02    -4.89854743e-01     4.93704282e-01    -1.44583704e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.46508793e-01     8.53491207e-01    -3.50094927e-01    -4.95763484e-02     3.53587715e-01    -3.00091968e+00     0.00000000e+00    -1.13536871e-24     2.06968199e-03    -2.06968199e-03     6.80434449e-02    -4.87645369e-01     4.92369694e-01    -1.43215678e+00
      0.110000     1.00000000e+00     0.00000000e+00     1.46531607e-01     8.53468393e-01    -3.49382123e-01    -5.44411593e-02     3.53598229e-01    -2.98701447e+00     0.00000000e+00    -2.77551727e-19     2.49316114e-03    -2.49316114e-03     7.45006730e-02    -4.85251486e-01     4.90937221e-01    -1.41845583e+00
      0.120000     1.00000000e+00     0.00000000e+00     1.46558772e-01     8.53441228e-01    -3.48605031e-01    -5.92811267e-02     3.53609559e-01    -2.97315156e+00    -1.38777878e-17    -8.00529557e-24     2.94176678e-03    -2.94176678e-03     8.08979328e-02    -4.82678380e-01     4.89410762e-01    -1.40473759e+00
      0.130000     1.00000000e+00     0.00000000e+00     1.46590578e-01     8.53409422e-01    -3.47764302e-01    -6.40944833e-02     3.53621426e-01    -2.95933357e+00     0.00000000e+00     1.19511457e-23     3.42418391e-03    -3.42418391e-03     8.72241070e-02    -4.79931006e-01     4.87792800e-01    -1.39101559e+00
      0.140000     1.00000000e+00     0.00000000e+00     1.46627419e-01     8.53372581e-01    -3.46860714e-01    -6.88795108e-02     3.53633627e-01    -2.94556310e+00     0.00000000e+00     2.08172741e-19     3.95176042e-03    -3.95176042e-03     9.34654949e-02    -4.77014390e-01     4.86084897e-01    -1.37730907e+00
      0.150000     1.00000000e+00     0.00000000e+00     1.46669804e-01     8.53330196e-01    -3.45895183e-01    -7.36345428e-02     3.53646043e-01    -2.93184267e+00    -2.77555756e-17    -1.03865845e-19     4.53560456e-03    -4.53560456e-03     9.96087171e-02    -4.73933826e-01     4.84288311e-01    -1.36363719e+00
      0.160000     1.00000000e+00     0.00000000e+00     1.46718341e-01     8.53281659e-01    -3.44868749e-01    -7.83579670e-02     3.53658628e-01    -2.91817477e+00    -1.38777878e-17     3.46876580e-20     5.18379789e-03    -5.18379789e-03     1.05643505e-01    -4.70694848e-01     4.82404591e-01    -1.35001344e+00
