# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000001e-01     5.00000001e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446633e-01     8.53553367e-01    -3.53518060e-01    -4.99968139e-03     3.53553413e-01    -3.12745095e+00     0.00000000e+00     0.00000000e+00    -2.36517179e-06     2.36517179e-06     7.07298240e-03    -4.99915707e-01     4.99965740e-01    -1.55664892e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446804e-01     8.53553196e-01    -3.53412182e-01    -9.99752074e-03     3.53553561e-01    -3.11331164e+00    -8.67361738e-19     0.00000000e+00     5.07187832e-06    -5.07187832e-06     1.41335575e-02    -4.99663750e-01     4.99863602e-01    -1.54251773e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46447274e-01     8.53552726e-01    -3.53235945e-01    -1.49918550e-02     3.53553940e-01    -3.09917663e+00     0.00000000e+00     0.00000000e+00     3.06022628e-05    -3.06022628e-05     2.11710824e-02    -4.99246571e-01     4.99695261e-01    -1.52841565e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46448200e-01     8.53551800e-01    -3.52989568e-01    -1.99810865e-02     3.53554634e-01    -3.08504768e+00     0.00000000e+00     0.00000000e+00     7.98260823e-05    -7.98260823e-05     2.81776974e-02    -4.98667792e-01     4.99463261e-01    -1.51435040e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46449745e-01     8.53550255e-01    -3.52673297e-01    -2.49636703e-02     3.53555709e-01    -3.07092639e+00     0.00000000e+00     0.00000000e+00     1.55051288e-04    -1.55051288e-04     3.51489098e-02    -4.97931804e-01     4.99170839e-01    -1.50032342e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46452076e-01     8.53547924e-01    -3.52287403e-01    -2.99381011e-02     3.53557215e-01    -3.05681431e+00    -1.73472348e-18     0.00000000e+00     2.55388340e-04    -2.55388340e-04     4.20834803e-02    -4.97043317e-01     4.98821690e-01    -1.48633015e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46455360e-01     8.53544640e-01    -3.51832180e-01    -3.49029071e-02     3.53559183e-01    -3.04271289e+00     3.46944695e-18     0.00000000e+00     3.77498738e-04    -3.77498738e-04     4.89826658e-02    -4.96006945e-01     4.98419694e-01    -1.47236150e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46459771e-01     8.53540229e-01    -3.51307947e-01    -3.98566459e-02     3.53561629e-01    -3.02862353e+00    -3.46944695e-18     0.00000000e+00     5.16807426e-04    -5.16807426e-04     5.58490018e-02    -4.94826888e-01     4.97968634e-01    -1.45840621e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46465482e-01     8.53534518e-01    -3.50715045e-01    -4.47979023e-02     3.53564555e-01    -3.01454757e+00     0.00000000e+00     0.00000000e+00     6.68888118e-04    -6.68888118e-04     6.26849129e-02    -4.93506762e-01     4.97471932e-01    -1.44445354e+00
