# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00    -4.33680869e-19     3.14290039e-25    -2.36491940e-06     2.36491940e-06     7.07319703e-03    -4.99915672e-01     4.99965708e-01    -1.55664849e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446589e-01     8.53553411e-01    -3.53411962e-01    -9.99805863e-03     3.53553357e-01    -3.11331010e+00    -8.67361738e-19    -7.03827305e-24     5.07587087e-06    -5.07587087e-06     1.41339702e-02    -4.99663430e-01     4.99863294e-01    -1.54251689e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446651e-01     8.53553349e-01    -3.53235310e-01    -1.49930903e-02     3.53553358e-01    -3.09917307e+00     0.00000000e+00     2.69792108e-23     3.06191889e-05    -3.06191889e-05     2.11714836e-02    -4.99245645e-01     4.99694353e-01    -1.52841477e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46446982e-01     8.53553018e-01    -3.52988327e-01    -1.99832822e-02     3.53553519e-01    -3.08504128e+00     0.00000000e+00     3.28825567e-24     7.98695697e-05    -7.98695697e-05     2.81775894e-02    -4.98665979e-01     4.99461445e-01    -1.51435041e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46447821e-01     8.53552179e-01    -3.52671345e-01    -2.49670282e-02     3.53553999e-01    -3.07091653e+00     0.00000000e+00     4.80544921e-23     1.55135888e-04    -1.55135888e-04     3.51475832e-02    -4.97928942e-01     4.99167891e-01    -1.50032567e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46449434e-01     8.53550566e-01    -3.52284738e-01    -2.99427689e-02     3.53554954e-01    -3.05680052e+00     0.00000000e+00    -1.35789212e-23     2.55525735e-04    -2.55525735e-04     4.20801059e-02    -4.97039396e-01     4.98817498e-01    -1.48633622e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46452073e-01     8.53547927e-01    -3.51828894e-01    -3.49089940e-02     3.53556514e-01    -3.04269484e+00     0.00000000e+00    -1.66830937e-22     3.77695266e-04    -3.77695266e-04     4.89763651e-02    -4.96002090e-01     4.98414243e-01    -1.47237312e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46455959e-01     8.53544041e-01    -3.51304190e-01    -3.98642397e-02     3.53558752e-01    -3.02860099e+00     3.46944695e-18     2.63008320e-23     5.17063886e-04    -5.17063886e-04     5.58388780e-02    -4.94821308e-01     4.97961953e-01    -1.45842516e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46461268e-01     8.53538732e-01    -3.50710974e-01    -4.48070833e-02     3.53561681e-01    -3.01452035e+00     0.00000000e+00    -5.54431140e-22     6.69201543e-04    -6.69201543e-04     6.26700430e-02    -4.93500680e-01     4.97464025e-01    -1.44448165e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.46468127e-01     8.53531873e-01    -3.50049574e-01    -4.97361359e-02     3.53565252e-01    -3.00045422e+00    -3.46944695e-18     4.75466255e-22     8.31064918e-04    -8.31064918e-04     6.94708747e-02    -4.92043160e-01     4.96923208e-01    -1.43053485e+00
      0.110000     1.00000000e+00     0.00000000e+00     1.46476638e-01     8.53523362e-01    -3.49320303e-01    -5.46500361e-02     3.53569371e-01    -2.98640383e+00     0.00000000e+00    -8.14138225e-22     1.00180382e-03    -1.00180382e-03     7.62401880e-02    -4.90451139e-01     4.96341501e-01    -1.41658149e+00
      0.120000     1.00000000e+00     0.00000000e+00     1.46486890e-01     8.53513110e-01    -3.48523488e-01    -5.95474443e-02     3.53573924e-01    -2.97237034e+00    -3.46944695e-18     7.61786587e-22     1.18296864e-03    -1.18296864e-03     8.29743993e-02    -4.88726647e-01     4.95720169e-01    -1.40262320e+00
      0.130000     1.00000000e+00     0.00000000e+00     1.46498991e-01     8.53501009e-01    -3.47659494e-01    -6.44270403e-02     3.53578799e-01    -2.95835488e+00     0.00000000e+00     5.94694913e-22     1.37809676e-03    -1.37809676e-03     8.96679642e-02    -4.86871571e-01     4.95059865e-01    -1.38866557e+00
      0.140000     1.00000000e+00     0.00000000e+00     1.46513083e-01     8.53486917e-01    -3.46728737e-01    -6.92875226e-02     3.53583905e-01    -2.94435857e+00     0.00000000e+00     9.21183021e-22     1.59180450e-03    -1.59180450e-03     9.63143148e-02    -4.84887833e-01     4.94360858e-01    -1.37471635e+00
      0.150000     1.00000000e+00     0.00000000e+00     1.46529354e-01     8.53470646e-01    -3.45731701e-01    -7.41276091e-02     3.53589185e-01    -2.93038250e+00    -3.46944695e-18    -3.50713959e-20     1.82862629e-03    -1.82862629e-03     1.02907046e-01    -4.82777487e-01     4.93623300e-01    -1.36078311e+00
      0.160000     1.00000000e+00     0.00000000e+00     1.46548038e-01     8.53451962e-01    -3.44668935e-01    -7.89460396e-02     3.53594615e-01    -2.91642777e+00    -6.93889390e-18     3.38061794e-20     2.09189676e-03    -2.09189676e-03     1.09441046e-01    -4.80542720e-01     4.92847489e-01    -1.34687100e+00
      0.170000     1.00000000e+00     0.00000000e+00     1.46569401e-01     8.53430599e-01    -3.43541035e-01    -8.37415767e-02     3.53600190e-01    -2.90249546e+00     0.00000000e+00     1.02482197e-19     2.38295321e-03    -2.38295321e-03     1.15913292e-01    -4.78185784e-01     4.92034079e-01    -1.33298121e+00
      0.180000     1.00000000e+00     0.00000000e+00     1.46593723e-01     8.53406277e-01    -3.42348630e-01    -8.85130066e-02     3.53605906e-01    -2.88858663e+00     6.93889390e-18    -1.23968143e-21     2.70085016e-03    -2.70085016e-03     1.22323114e-01    -4.75708895e-01     4.91184178e-01    -1.31911036e+00
      0.190000     1.00000000e+00     0.00000000e+00     1.46621273e-01     8.53378727e-01    -3.41092355e-01    -9.32591386e-02     3.53611738e-01    -2.87470231e+00     6.93889390e-18     1.52447478e-19     3.04264736e-03    -3.04264736e-03     1.28671875e-01    -4.73114134e-01     4.90299333e-01    -1.30525118e+00
      0.200000     1.00000000e+00     0.00000000e+00     1.46652292e-01     8.53347708e-01    -3.39772828e-01    -9.79788029e-02     3.53617619e-01    -2.86084348e+00     0.00000000e+00    -3.52407389e-20     3.40418978e-03    -3.40418978e-03     1.34962154e-01    -4.70403404e-01     4.89381391e-01    -1.29139407e+00
      0.210000     1.00000000e+00     0.00000000e+00     1.46686979e-01     8.53313021e-01    -3.38390645e-01    -1.02670849e-01     3.53623432e-01    -2.84701106e+00     0.00000000e+00     3.87598869e-20     3.78117744e-03    -3.78117744e-03     1.41196646e-01    -4.67578450e-01     4.88432288e-01    -1.27752929e+00
      0.220000     1.00000000e+00     0.00000000e+00     1.46725488e-01     8.53274512e-01    -3.36946372e-01    -1.07334142e-01     3.53629009e-01    -2.83320591e+00     0.00000000e+00    -7.02052410e-22     4.17025475e-03    -4.17025475e-03     1.47377061e-01    -4.64640946e-01     4.87453799e-01    -1.26364914e+00
      0.230000     1.00000000e+00     0.00000000e+00     1.46767942e-01     8.53232058e-01    -3.35440559e-01    -1.11967564e-01     3.53634139e-01    -2.81942885e+00     0.00000000e+00    -2.24483924e-20     4.56984808e-03    -4.56984808e-03     1.53503294e-01    -4.61592614e-01     4.86447327e-01    -1.24974963e+00
      0.240000     1.00000000e+00     0.00000000e+00     1.46814448e-01     8.53185552e-01    -3.33873757e-01    -1.16570014e-01     3.53638592e-01    -2.80568064e+00    -6.93889390e-18    -2.64804612e-21     4.98054637e-03    -4.98054637e-03     1.59573064e-01    -4.58435349e-01     4.85413774e-01    -1.23583127e+00
      0.250000     1.00000000e+00     0.00000000e+00     1.46865117e-01     8.53134883e-01    -3.32246540e-01    -1.21140408e-01     3.53642138e-01    -2.79196200e+00     0.00000000e+00     6.52004720e-20     5.40493572e-03    -5.40493572e-03     1.65582125e-01    -4.55171293e-01     4.84353534e-01    -1.22189864e+00
      0.260000     1.00000000e+00     0.00000000e+00     1.46920089e-01     8.53079911e-01    -3.30559523e-01    -1.25677686e-01     3.53644566e-01    -2.77827365e+00     0.00000000e+00     3.74270152e-21     5.84693489e-03    -5.84693489e-03     1.71524965e-01    -4.51802836e-01     4.83266610e-01    -1.20795902e+00
      0.270000     1.00000000e+00     0.00000000e+00     1.46979540e-01     8.53020460e-01    -3.28813379e-01    -1.30180808e-01     3.53645700e-01    -2.76461631e+00     0.00000000e+00    -2.64803982e-20     6.31080218e-03    -6.31080218e-03     1.77395837e-01    -4.48332541e-01     4.82152828e-01    -1.19402037e+00
      0.280000     1.00000000e+00     0.00000000e+00     1.47043692e-01     8.52956308e-01    -3.27008834e-01    -1.34648765e-01     3.53645398e-01    -2.75099066e+00     0.00000000e+00    -5.61359840e-20     6.80006328e-03    -6.80006328e-03     1.83189839e-01    -4.44763006e-01     4.81012109e-01    -1.18008907e+00
      0.290000     1.00000000e+00     0.00000000e+00     1.47112798e-01     8.52887202e-01    -3.25146666e-01    -1.39080570e-01     3.53643548e-01    -2.73739742e+00     0.00000000e+00     1.76882239e-20     7.31662689e-03    -7.31662689e-03     1.88903800e-01    -4.41096698e-01     4.79844707e-01    -1.16616820e+00
      0.300000     1.00000000e+00     0.00000000e+00     1.47187133e-01     8.52812867e-01    -3.23227683e-01    -1.43475265e-01     3.53640053e-01    -2.72383728e+00     0.00000000e+00    -1.14394157e-19     7.86030578e-03    -7.86030578e-03     1.94536720e-01    -4.37335809e-01     4.78651382e-01    -1.15225651e+00
      0.310000     1.00000000e+00     0.00000000e+00     1.47266969e-01     8.52733031e-01    -3.21252703e-01    -1.47831912e-01     3.53634802e-01    -2.71031090e+00     6.93889390e-18     2.35850706e-21     8.42885841e-03    -8.42885841e-03     2.00089695e-01    -4.33482182e-01     4.77433439e-01    -1.13834862e+00
      0.320000     1.00000000e+00     0.00000000e+00     1.47352555e-01     8.52647445e-01    -3.19222532e-01    -1.52149593e-01     3.53627663e-01    -2.69681891e+00     0.00000000e+00    -7.71481061e-20     9.01853658e-03    -9.01853658e-03     2.05565317e-01    -4.29537328e-01     4.76192625e-01    -1.12443612e+00
      0.330000     1.00000000e+00     0.00000000e+00     1.47444102e-01     8.52555898e-01    -3.17137951e-01    -1.56427405e-01     3.53618457e-01    -2.68336187e+00     0.00000000e+00     1.49180406e-19     9.62499933e-03    -9.62499933e-03     2.10966723e-01    -4.25502545e-01     4.74930915e-01    -1.11050953e+00
      0.340000     1.00000000e+00     0.00000000e+00     1.47541779e-01     8.52458221e-01    -3.14999708e-01    -1.60664458e-01     3.53606962e-01    -2.66994029e+00     0.00000000e+00     1.72620794e-19     1.02443643e-02    -1.02443643e-02     2.16296526e-01    -4.21379101e-01     4.73650223e-01    -1.09656047e+00
      0.350000     1.00000000e+00     0.00000000e+00     1.47645715e-01     8.52354285e-01    -3.12808525e-01    -1.64859872e-01     3.53592916e-01    -2.65655462e+00     0.00000000e+00    -5.73014810e-20     1.08741352e-02    -1.08741352e-02     2.21555893e-01    -4.17168445e-01     4.72352120e-01    -1.08258361e+00
