# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00     3.46944695e-18     0.00000000e+00    -2.75727972e-05     2.75727972e-05     7.09840491e-03    -4.99607734e-01     4.99658159e-01    -1.55658933e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446367e-01     8.53553633e-01    -3.53411773e-01    -9.99259885e-03     3.53553013e-01    -3.11332552e+00    -6.93889390e-18     0.00000000e+00     4.33359300e-05    -4.33359300e-05     1.40883329e-02    -4.98439515e-01     4.98638578e-01    -1.54253897e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446915e-01     8.53553085e-01    -3.53235785e-01    -1.49714799e-02     3.53552917e-01    -3.09923419e+00     1.38777878e-17     0.00000000e+00     2.95812685e-04    -2.95812685e-04     2.08770572e-02    -4.96522393e-01     4.96961103e-01    -1.52877452e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46450111e-01     8.53549889e-01    -3.52992179e-01    -1.99290930e-02     3.53554305e-01    -3.08519492e+00    -1.38777878e-17     0.00000000e+00     7.85318235e-04    -7.85318235e-04     2.73986754e-02    -4.93898240e-01     4.94657618e-01    -1.51537879e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46458360e-01     8.53541640e-01    -3.52683709e-01    -2.48585086e-02     3.53558685e-01    -3.07122517e+00    -1.38777878e-17     0.00000000e+00     1.53349957e-03    -1.53349957e-03     3.36217404e-02    -4.90618717e-01     4.91769404e-01    -1.50237404e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46474276e-01     8.53525724e-01    -3.52313434e-01    -2.97533328e-02     3.53567556e-01    -3.05734125e+00     0.00000000e+00     0.00000000e+00     2.52921985e-03    -2.52921985e-03     3.95483470e-02    -4.86739712e-01     4.88343751e-01    -1.48972289e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46500355e-01     8.53499645e-01    -3.51884381e-01    -3.46077349e-02     3.53582116e-01    -3.04355819e+00     0.00000000e+00     0.00000000e+00     3.73631688e-03    -3.73631688e-03     4.52064112e-02    -4.82316359e-01     4.84430273e-01    -1.47734163e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46538725e-01     8.53461275e-01    -3.51399287e-01    -3.94164249e-02     3.53603045e-01    -3.02988967e+00     0.00000000e+00     0.00000000e+00     5.10605980e-03    -5.10605980e-03     5.06371829e-02    -4.77399468e-01     4.80077469e-01    -1.46512265e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46591026e-01     8.53408974e-01    -3.50860472e-01    -4.41746017e-02     3.53630409e-01    -3.01634805e+00     0.00000000e+00     0.00000000e+00     6.59125369e-03    -6.59125369e-03     5.58810671e-02    -4.72033762e-01     4.75329955e-01    -1.45296114e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.46658423e-01     8.53341577e-01    -3.50269848e-01    -4.88778870e-02     3.53663702e-01    -3.00294445e+00     2.77555756e-17     0.00000000e+00     8.15867187e-03    -8.15867187e-03     6.09650988e-02    -4.66257832e-01     4.70226658e-01    -1.44077988e+00
      0.110000     1.00000000e+00     0.00000000e+00     1.46741751e-01     8.53258249e-01    -3.49629055e-01    -5.35222652e-02     3.53702006e-01    -2.98968892e+00     0.00000000e+00     0.00000000e+00     9.79701511e-03    -9.79701511e-03     6.58948982e-02    -4.60105376e-01     4.64800059e-01    -1.42854666e+00
      0.120000     1.00000000e+00     0.00000000e+00     1.46841733e-01     8.53158267e-01    -3.48939674e-01    -5.81040391e-02     3.53744223e-01    -2.97659057e+00     0.00000000e+00     0.00000000e+00     1.15187590e-02    -1.15187590e-02     7.06527611e-02    -4.53607031e-01     4.59076411e-01    -1.41628025e+00
      0.130000     1.00000000e+00     0.00000000e+00     1.46959214e-01     8.53040786e-01    -3.48203461e-01    -6.26198066e-02     3.53789331e-01    -2.96365777e+00     0.00000000e+00     0.00000000e+00     1.33557606e-02    -1.33557606e-02     7.52020192e-02    -4.46792127e-01     4.53076757e-01    -1.40404386e+00
      0.140000     1.00000000e+00     0.00000000e+00     1.47095360e-01     8.52904640e-01    -3.47422536e-01    -6.70664558e-02     3.53836583e-01    -2.95089824e+00     0.00000000e+00     0.00000000e+00     1.53499902e-02    -1.53499902e-02     7.94963011e-02    -4.39689831e-01     4.46818542e-01    -1.39192777e+00
      0.150000     1.00000000e+00     0.00000000e+00     1.47251749e-01     8.52748251e-01    -3.46599476e-01    -7.14411696e-02     3.53885628e-01    -2.93831923e+00     5.55111512e-17     0.00000000e+00     1.75418761e-02    -1.75418761e-02     8.34911949e-02    -4.32329453e-01     4.40317539e-01    -1.38002542e+00
      0.160000     1.00000000e+00     0.00000000e+00     1.47430364e-01     8.52569636e-01    -3.45737298e-01    -7.57414321e-02     3.53936497e-01    -2.92592748e+00     0.00000000e+00     0.00000000e+00     1.99592491e-02    -1.99592491e-02     8.71553115e-02    -4.24739993e-01     4.33589795e-01    -1.36840882e+00
      0.170000     1.00000000e+00     0.00000000e+00     1.47633459e-01     8.52366541e-01    -3.44839326e-01    -7.99650261e-02     3.53989500e-01    -2.91372932e+00     0.00000000e+00     0.00000000e+00     2.26096328e-02    -2.26096328e-02     9.04779917e-02    -4.16949308e-01     4.26653246e-01    -1.35710934e+00
      0.180000     1.00000000e+00     0.00000000e+00     1.47863358e-01     8.52136642e-01    -3.43908981e-01    -8.41100204e-02     3.54045030e-01    -2.90173052e+00     0.00000000e+00     0.00000000e+00     2.54777256e-02    -2.54777256e-02     9.34718061e-02    -4.08983324e-01     4.19528709e-01    -1.34610862e+00
      0.190000     1.00000000e+00     0.00000000e+00     1.48122231e-01     8.51877769e-01    -3.42949558e-01    -8.81747468e-02     3.54103354e-01    -2.88993628e+00     0.00000000e+00     0.00000000e+00     2.85285850e-02    -2.85285850e-02     9.61693377e-02    -4.00865729e-01     4.12240068e-01    -1.33534201e+00
      0.200000     1.00000000e+00     0.00000000e+00     1.48411897e-01     8.51588103e-01    -3.41964020e-01    -9.21577727e-02     3.54164434e-01    -2.87835108e+00    -5.55111512e-17     0.00000000e+00     3.17155983e-02    -3.17155983e-02     9.86151736e-02    -3.92618341e-01     4.04813678e-01    -1.32471386e+00
      0.210000     1.00000000e+00     0.00000000e+00     1.48733708e-01     8.51266292e-01    -3.40954884e-01    -9.60578785e-02     3.54227820e-01    -2.86697865e+00     0.00000000e+00     0.00000000e+00     3.49911532e-02    -3.49911532e-02     1.00855201e-01    -3.84262069e-01     3.97277119e-01    -1.31412109e+00
      0.220000     1.00000000e+00     0.00000000e+00     1.49088540e-01     8.50911460e-01    -3.39924206e-01    -9.98740455e-02     3.54292663e-01    -2.85582191e+00     0.00000000e+00     0.00000000e+00     3.83172952e-02    -3.83172952e-02     1.02925934e-01    -3.75818158e-01     3.89657588e-01    -1.30347945e+00
      0.230000     1.00000000e+00     0.00000000e+00     1.49476895e-01     8.50523105e-01    -3.38873680e-01    -1.03605457e-01     3.54357816e-01    -2.84488297e+00    -5.55111512e-17     0.00000000e+00     4.16737224e-02    -4.16737224e-02     1.04846521e-01    -3.67309273e-01     3.81980228e-01    -1.29274584e+00
      0.240000     1.00000000e+00     0.00000000e+00     1.49899070e-01     8.50100930e-01    -3.37804808e-01    -1.07251516e-01     3.54422031e-01    -2.83416319e+00     0.00000000e+00     0.00000000e+00     4.50611813e-02    -4.50611813e-02     1.06615367e-01    -3.58759989e-01     3.74266704e-01    -1.28193106e+00
      0.250000     1.00000000e+00     0.00000000e+00     1.50355373e-01     8.49644627e-01    -3.36719105e-01    -1.10811862e-01     3.54484167e-01    -2.82366334e+00     0.00000000e+00     0.00000000e+00     4.84995103e-02    -4.84995103e-02     1.08212128e-01    -3.50196436e-01     3.66534321e-01    -1.27109951e+00
      0.260000     1.00000000e+00     0.00000000e+00     1.50846306e-01     8.49153694e-01    -3.35618289e-01    -1.14286394e-01     3.54543391e-01    -2.81338369e+00     0.00000000e+00     0.00000000e+00     5.20209172e-02    -5.20209172e-02     1.09604451e-01    -3.41645100e-01     3.58795917e-01    -1.26035538e+00
      0.270000     1.00000000e+00     0.00000000e+00     1.51372695e-01     8.48627305e-01    -3.34504396e-01    -1.17675274e-01     3.54599297e-01    -2.80332414e+00     0.00000000e+00     1.56125113e-19     5.56602470e-02    -5.56602470e-02     1.10757722e-01    -3.33131057e-01     3.51060641e-01    -1.24981854e+00
      0.280000     1.00000000e+00     0.00000000e+00     1.51935708e-01     8.48064292e-01    -3.33379804e-01    -1.20978918e-01     3.54651931e-01    -2.79348440e+00     0.00000000e+00     0.00000000e+00     5.94447066e-02    -5.94447066e-02     1.11645319e-01    -3.24676126e-01     3.43335498e-01    -1.23959585e+00
      0.290000     1.00000000e+00     0.00000000e+00     1.52536782e-01     8.47463218e-01    -3.32247151e-01    -1.24197960e-01     3.54701709e-01    -2.78386396e+00     0.00000000e+00     0.00000000e+00     6.33856092e-02    -6.33856092e-02     1.12256830e-01    -3.16297502e-01     3.35627332e-01    -1.22975495e+00
      0.300000     1.00000000e+00     0.00000000e+00     1.53177466e-01     8.46822534e-01    -3.31109175e-01    -1.27333211e-01     3.54749253e-01    -2.77446216e+00     0.00000000e+00     1.73472348e-19     6.74741535e-02    -6.74741535e-02     1.12602200e-01    -3.08007327e-01     3.27944765e-01    -1.22030723e+00
      0.310000     1.00000000e+00     0.00000000e+00     1.53859217e-01     8.46140783e-01    -3.29968514e-01    -1.30385602e-01     3.54795188e-01    -2.76527811e+00     0.00000000e+00     1.90819582e-19     7.16822258e-02    -7.16822258e-02     1.12710861e-01    -2.99813409e-01     3.20299576e-01    -1.21120470e+00
      0.320000     1.00000000e+00     0.00000000e+00     1.54583212e-01     8.45416788e-01    -3.28827508e-01    -1.33356142e-01     3.54839951e-01    -2.75631059e+00     0.00000000e+00    -1.82145965e-19     7.59679555e-02    -7.59679555e-02     1.12626109e-01    -2.91721004e-01     3.12707187e-01    -1.20235182e+00
      0.330000     1.00000000e+00     0.00000000e+00     1.55350210e-01     8.44649790e-01    -3.27688068e-01    -1.36245888e-01     3.54883659e-01    -2.74755794e+00     0.00000000e+00     0.00000000e+00     8.02845810e-02    -8.02845810e-02     1.12396202e-01    -2.83735200e-01     3.05186123e-01    -1.19363006e+00
      0.340000     1.00000000e+00     0.00000000e+00     1.56160507e-01     8.43839493e-01    -3.26551622e-01    -1.39055942e-01     3.54926072e-01    -2.73901799e+00     0.00000000e+00    -4.33680869e-20     8.45903926e-02    -8.45903926e-02     1.12064407e-01    -2.75863280e-01     2.97756579e-01    -1.18492937e+00
      0.350000     1.00000000e+00     0.00000000e+00     1.57013981e-01     8.42986019e-01    -3.25419169e-01    -1.41787473e-01     3.54966651e-01    -2.73068798e+00     0.00000000e+00    -4.33680869e-20     8.88572840e-02    -8.88572840e-02     1.11660483e-01    -2.68116380e-01     2.90438387e-01    -1.17617898e+00
      0.360000     1.00000000e+00     0.00000000e+00     1.57910236e-01     8.42089764e-01    -3.24291415e-01    -1.44441754e-01     3.55004707e-01    -2.72256460e+00     0.00000000e+00     1.38777878e-19     9.30758319e-02    -9.30758319e-02     1.11195656e-01    -2.60509922e-01     2.83248819e-01    -1.16736951e+00
      0.370000     1.00000000e+00     0.00000000e+00     1.58848781e-01     8.41151219e-01    -3.23168950e-01    -1.47020208e-01     3.55039592e-01    -2.71464405e+00     0.00000000e+00     0.00000000e+00     9.72557100e-02    -9.72557100e-02     1.10662262e-01    -2.53062635e-01     2.76200712e-01    -1.15856049e+00
      0.380000     1.00000000e+00     0.00000000e+00     1.59829223e-01     8.40170777e-01    -3.22052442e-01    -1.49524441e-01     3.55070886e-01    -2.70692220e+00     0.00000000e+00     0.00000000e+00     1.01421415e-01    -1.01421415e-01     1.10038078e-01    -2.45794347e-01     2.69301391e-01    -1.14987046e+00
      0.390000     1.00000000e+00     0.00000000e+00     1.60851412e-01     8.39148588e-01    -3.20942779e-01    -1.51956255e-01     3.55098537e-01    -2.69939473e+00     1.11022302e-16     0.00000000e+00     1.05604430e-01    -1.05604430e-01     1.09294167e-01    -2.38723110e-01     2.62552734e-01    -1.14145159e+00
      0.400000     1.00000000e+00     0.00000000e+00     1.61915509e-01     8.38084491e-01    -3.19841132e-01    -1.54317634e-01     3.55122911e-01    -2.69205729e+00     0.00000000e+00    -1.38777878e-19     1.09833825e-01    -1.09833825e-01     1.08404266e-01    -2.31862399e-01     2.55952451e-01    -1.13345466e+00
      0.410000     1.00000000e+00     0.00000000e+00     1.63021966e-01     8.36978034e-01    -3.18748933e-01    -1.56610695e-01     3.55144749e-01    -2.68490562e+00     0.00000000e+00     0.00000000e+00     1.14127605e-01    -1.14127605e-01     1.07353364e-01    -2.25219178e-01     2.49496338e-01    -1.12599304e+00
      0.420000     1.00000000e+00     0.00000000e+00     1.64171409e-01     8.35828591e-01    -3.17667761e-01    -1.58837628e-01     3.55165030e-01    -2.67793561e+00     0.00000000e+00     1.38777878e-19     1.18486960e-01    -1.18486960e-01     1.06143368e-01    -2.18793397e-01     2.43180931e-01    -1.11911486e+00
      0.430000     1.00000000e+00     0.00000000e+00     1.65364479e-01     8.34635521e-01    -3.16599174e-01    -1.61000620e-01     3.55184792e-01    -2.67114324e+00     0.00000000e+00     0.00000000e+00     1.22894746e-01    -1.22894746e-01     1.04794515e-01    -2.12579150e-01     2.37005876e-01    -1.11279090e+00
      0.440000     1.00000000e+00     0.00000000e+00     1.66601641e-01     8.33398359e-01    -3.15544528e-01    -1.63101802e-01     3.55204937e-01    -2.66452455e+00     0.00000000e+00     4.16333634e-19     1.27318534e-01    -1.27318534e-01     1.03342247e-01    -2.06567250e-01     2.30975429e-01    -1.10692171e+00
      0.450000     1.00000000e+00     0.00000000e+00     1.67883042e-01     8.32116958e-01    -3.14504829e-01    -1.65143207e-01     3.55226078e-01    -2.65807543e+00     0.00000000e+00     0.00000000e+00     1.31717394e-01    -1.31717394e-01     1.01830369e-01    -2.00748606e-01     2.25098705e-01    -1.10136302e+00
      0.460000     1.00000000e+00     0.00000000e+00     1.69208421e-01     8.30791579e-01    -3.13480648e-01    -1.67126777e-01     3.55248471e-01    -2.65179156e+00     0.00000000e+00     0.00000000e+00     1.36050701e-01    -1.36050701e-01     1.00302254e-01    -1.95117532e-01     2.19388681e-01    -1.09596354e+00
