# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01    -5.00000000e-03     3.53588744e-01    -3.12745146e+00     0.00000000e+00     0.00000000e+00     2.49019477e-03    -2.49019477e-03     9.56396474e-03    -5.00100252e-01     5.00191695e-01    -1.55167456e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46471511e-01     8.53528489e-01    -3.53457751e-01    -1.00010025e-02     3.53599211e-01    -3.11330544e+00     0.00000000e+00     0.00000000e+00     4.93336542e-03    -4.93336542e-03     1.90735209e-02    -5.00254716e-01     5.00618198e-01    -1.53268717e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46520845e-01     8.53479155e-01    -3.53267016e-01    -1.50035497e-02     3.53585479e-01    -3.09914731e+00     0.00000000e+00     0.00000000e+00     7.28766210e-03    -7.28766210e-03     2.84797190e-02    -5.00432632e-01     5.01242370e-01    -1.51394745e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46593722e-01     8.53406278e-01    -3.52982219e-01    -2.00078760e-02     3.53548811e-01    -3.08497085e+00     0.00000000e+00     0.00000000e+00     9.52113726e-03    -9.52113726e-03     3.77456610e-02    -5.00587928e-01     5.02008973e-01    -1.49553608e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46688933e-01     8.53311067e-01    -3.52604762e-01    -2.50137553e-02     3.53490885e-01    -3.07077137e+00     0.00000000e+00     0.00000000e+00     1.16148126e-02    -1.16148126e-02     4.68499448e-02    -5.00665690e-01     5.02852912e-01    -1.47749272e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46805081e-01     8.53194919e-01    -3.52136262e-01    -3.00204122e-02     3.53413600e-01    -3.05654603e+00     0.00000000e+00     0.00000000e+00     1.35638391e-02    -1.35638391e-02     5.57876239e-02    -5.00609633e-01     5.03708510e-01    -1.45981486e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46940720e-01     8.53059280e-01    -3.51578386e-01    -3.50265085e-02     3.53318862e-01    -3.04229386e+00     0.00000000e+00     0.00000000e+00     1.53766489e-02    -1.53766489e-02     6.45686273e-02    -5.00369351e-01     5.04518181e-01    -1.44246358e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.47094486e-01     8.52905514e-01    -3.50932700e-01    -4.00302020e-02     3.53208404e-01    -3.02801553e+00     0.00000000e+00     0.00000000e+00     1.70723272e-02    -1.70723272e-02     7.32140435e-02    -4.99906218e-01     5.05239075e-01    -1.42537462e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.47265209e-01     8.52734791e-01    -3.50200560e-01    -4.50292642e-02     3.53083654e-01    -3.01371297e+00     0.00000000e+00     0.00000000e+00     1.86767086e-02    -1.86767086e-02     8.17510342e-02    -4.99197067e-01     5.05846759e-01    -1.40847216e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.47451976e-01     8.52548024e-01    -3.49383049e-01    -5.00212349e-02     3.52945660e-01    -2.99938883e+00     0.00000000e+00     0.00000000e+00     2.02178870e-02    -2.02178870e-02     9.02073475e-02    -4.98235212e-01     5.06335553e-01    -1.39168291e+00
