# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01    -5.00000000e-03     3.53588744e-01    -3.12745146e+00     0.00000000e+00     0.00000000e+00     2.49028273e-03    -2.49028273e-03     1.08081540e-02    -4.99955900e-01     5.00072713e-01    -1.54918148e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46471512e-01     8.53528488e-01    -3.53445309e-01    -9.99955900e-03     3.53586733e-01    -3.11330853e+00     0.00000000e+00     0.00000000e+00     4.93405792e-03    -4.93405792e-03     2.15324554e-02    -4.99672492e-01     5.00136227e-01    -1.52772983e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46520853e-01     8.53479147e-01    -3.53229984e-01    -1.49962839e-02     3.53548173e-01    -3.09916340e+00     8.67361738e-19     0.00000000e+00     7.28993990e-03    -7.28993990e-03     3.20952643e-02    -4.99155938e-01     5.00186722e-01    -1.50658565e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46593752e-01     8.53406248e-01    -3.52909032e-01    -1.99878433e-02     3.53474608e-01    -3.08501572e+00     0.00000000e+00     0.00000000e+00     9.52635421e-03    -9.52635421e-03     4.24376585e-02    -4.98415883e-01     5.00219299e-01    -1.48585612e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46689016e-01     8.53310984e-01    -3.52484655e-01    -2.49720021e-02     3.53368127e-01    -3.07086518e+00     0.00000000e+00     0.00000000e+00     1.16245894e-02    -1.16245894e-02     5.25249587e-02    -4.97463952e-01     5.00229202e-01    -1.46560063e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46805262e-01     8.53194738e-01    -3.51959406e-01    -2.99466417e-02     3.53231121e-01    -3.05671159e+00     1.73472348e-18     0.00000000e+00     1.35799669e-02    -1.35799669e-02     6.23483872e-02    -4.96312058e-01     5.00212935e-01    -1.44582761e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46941061e-01     8.53058939e-01    -3.51335922e-01    -3.49097622e-02     3.53066030e-01    -3.04255482e+00     0.00000000e+00     0.00000000e+00     1.54010235e-02    -1.54010235e-02     7.19227595e-02    -4.94970855e-01     5.00169002e-01    -1.42649918e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.47095072e-01     8.52904928e-01    -3.50616694e-01    -3.98594708e-02     3.52875111e-01    -3.02839475e+00     0.00000000e+00     0.00000000e+00     1.71069213e-02    -1.71069213e-02     8.12808122e-02    -4.93448627e-01     5.00098108e-01    -1.40754239e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.47266141e-01     8.52733859e-01    -3.49803886e-01    -4.47939571e-02     3.52660258e-01    -3.01423130e+00     0.00000000e+00     0.00000000e+00     1.87235810e-02    -1.87235810e-02     9.04653422e-02    -4.91750788e-01     5.00002816e-01    -1.38886469e+00
