# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01    -5.00000000e-03     3.53588744e-01    -3.12745146e+00     0.00000000e+00    -1.59974481e-24     6.22554331e-03    -6.22554331e-03     1.64132731e-02    -4.99889754e-01     5.00159136e-01    -1.53797433e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46508865e-01     8.53491135e-01    -3.53389258e-01    -9.99889754e-03     3.53530685e-01    -3.11330591e+00     0.00000000e+00    -4.42574882e-23     1.23351498e-02    -1.23351498e-02     3.26127712e-02    -4.99331334e-01     5.00395217e-01    -1.50557607e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46632216e-01     8.53367784e-01    -3.53063130e-01    -1.49922109e-02     3.53381296e-01    -3.09915489e+00    -3.46944695e-18    -4.93936382e-23     1.82254969e-02    -1.82254969e-02     4.84020969e-02    -4.98340479e-01     5.00685526e-01    -1.47397347e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46814471e-01     8.53185529e-01    -3.52579109e-01    -1.99756157e-02     3.53144522e-01    -3.08499746e+00     0.00000000e+00    -1.42824807e-22     2.38176469e-02    -2.38176469e-02     6.36325493e-02    -4.96941854e-01     5.00999309e-01    -1.44344108e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.47052648e-01     8.52947352e-01    -3.51942784e-01    -2.49450342e-02     3.52825704e-01    -3.07083289e+00     0.00000000e+00    -1.63091883e-24     2.90646584e-02    -2.90646584e-02     7.82171110e-02    -4.95165208e-01     5.01304797e-01    -1.41412917e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.47343294e-01     8.52656706e-01    -3.51160613e-01    -2.98966863e-02     3.52430969e-01    -3.05666067e+00     0.00000000e+00    -1.49406893e-21     3.39545465e-02    -3.39545465e-02     9.21345050e-02    -4.93041076e-01     5.01575786e-01    -1.38605721e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.47682840e-01     8.52317160e-01    -3.50239268e-01    -3.48270970e-02     3.51966577e-01    -3.04248045e+00    -6.93889390e-18    -2.63324785e-22     3.85083119e-02    -3.85083119e-02     1.05423123e-01    -4.90596858e-01     5.01796086e-01    -1.35912772e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.48067923e-01     8.51932077e-01    -3.49185036e-01    -3.97330656e-02     3.51438339e-01    -3.02829197e+00     0.00000000e+00     2.23798828e-21     4.27735568e-02    -4.27735568e-02     1.18166454e-01    -4.87854025e-01     5.01961015e-01    -1.33315631e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.48495659e-01     8.51504341e-01    -3.48003372e-01    -4.46116059e-02     3.50851168e-01    -3.01409500e+00     0.00000000e+00     2.12053161e-21     4.68148919e-02    -4.68148919e-02     1.30473069e-01    -4.84826896e-01     5.02076031e-01    -1.30791170e+00
