# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01    -5.00000000e-03     3.53588744e-01    -3.12745146e+00     0.00000000e+00     0.00000000e+00    -6.45375647e-07     6.45375647e-07     7.69429204e-03    -5.00025063e-01     5.00084258e-01    -1.55540973e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446603e-01     8.53553397e-01    -3.53476448e-01    -1.00002506e-02     3.53617879e-01    -3.11330906e+00     0.00000000e+00     0.00000000e+00     1.05966213e-06    -1.05966213e-06     1.53750471e-02    -4.99988684e-01     5.00225025e-01    -1.54005522e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446614e-01     8.53553386e-01    -3.53322697e-01    -1.50001375e-02     3.53640966e-01    -3.09916364e+00     6.50521303e-19     0.00000000e+00     7.22718315e-06    -7.22718315e-06     2.30290579e-02    -4.99883192e-01     5.00413373e-01    -1.52476000e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46446686e-01     8.53553314e-01    -3.53092407e-01    -1.99989694e-02     3.53658319e-01    -3.08501363e+00     0.00000000e+00     0.00000000e+00     1.92962026e-05    -1.92962026e-05     3.06461141e-02    -4.99697116e-01     5.00635987e-01    -1.50954367e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46446879e-01     8.53553121e-01    -3.52785945e-01    -2.49959405e-02     3.53670356e-01    -3.07085787e+00     0.00000000e+00     0.00000000e+00     3.78788811e-05    -3.78788811e-05     3.82198604e-02    -4.99416788e-01     5.00877116e-01    -1.49441622e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46447258e-01     8.53552742e-01    -3.52403747e-01    -2.99901084e-02     3.53677547e-01    -3.05669565e+00    -4.33680869e-19     0.00000000e+00     6.27821202e-05    -6.27821202e-05     4.57480374e-02    -4.99028209e-01     5.01120780e-01    -1.47937760e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46447885e-01     8.53552115e-01    -3.51946267e-01    -3.49803905e-02     3.53680367e-01    -3.04252673e+00    -4.33680869e-19     0.00000000e+00     9.31942998e-05    -9.31942998e-05     5.32320913e-02    -4.98518851e-01     5.01352870e-01    -1.46441891e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46448817e-01     8.53551183e-01    -3.51413946e-01    -3.99655790e-02     3.53679245e-01    -3.02835128e+00     0.00000000e+00     0.00000000e+00     1.27989492e-04    -1.27989492e-04     6.06762531e-02    -4.97879134e-01     5.01562798e-01    -1.44952490e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46450097e-01     8.53549903e-01    -3.50807183e-01    -4.49443704e-02     3.53674534e-01    -3.01416978e+00     0.00000000e+00     0.00000000e+00     1.66075811e-04    -1.66075811e-04     6.80862729e-02    -4.97103344e-01     5.01744432e-01    -1.43467726e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.46451758e-01     8.53548242e-01    -3.50126320e-01    -4.99154038e-02     3.53666492e-01    -2.99998290e+00     0.00000000e+00     0.00000000e+00     2.06706507e-04    -2.06706507e-04     7.54680540e-02    -4.96189890e-01     5.01896238e-01    -1.41985801e+00
      0.110000     1.00000000e+00     0.00000000e+00     1.46453825e-01     8.53546175e-01    -3.49371640e-01    -5.48773027e-02     3.53655286e-01    -2.98579137e+00     0.00000000e+00     0.00000000e+00     2.49683598e-04    -2.49683598e-04     8.28264271e-02    -4.95140905e-01     5.02020650e-01    -1.40505241e+00
      0.120000     1.00000000e+00     0.00000000e+00     1.46456322e-01     8.53543678e-01    -3.48543376e-01    -5.98287118e-02     3.53641004e-01    -2.97159582e+00    -8.67361738e-19     0.00000000e+00     2.95411304e-04    -2.95411304e-04     9.01642704e-02    -4.93961307e-01     5.02122861e-01    -1.39025091e+00
      0.130000     1.00000000e+00     0.00000000e+00     1.46459276e-01     8.53540724e-01    -3.47641733e-01    -6.47683248e-02     3.53623685e-01    -2.95739678e+00     0.00000000e+00     0.00000000e+00     3.44793395e-04    -3.44793395e-04     9.74820958e-02    -4.92657525e-01     5.02209315e-01    -1.37544978e+00
      0.140000     1.00000000e+00     0.00000000e+00     1.46462724e-01     8.53537276e-01    -3.46666912e-01    -6.96949001e-02     3.53603347e-01    -2.94319457e+00     0.00000000e+00     0.00000000e+00     3.99006036e-04    -3.99006036e-04     1.04778129e-01    -4.91236147e-01     5.02286182e-01    -1.36065057e+00
      0.150000     1.00000000e+00     0.00000000e+00     1.46466714e-01     8.53533286e-01    -3.45619131e-01    -7.46072615e-02     3.53580015e-01    -2.92898934e+00     0.00000000e+00     0.00000000e+00     4.59206626e-04    -4.59206626e-04     1.12048812e-01    -4.89702725e-01     5.02358134e-01    -1.34585858e+00
      0.160000     1.00000000e+00     0.00000000e+00     1.46471306e-01     8.53528694e-01    -3.44498642e-01    -7.95042888e-02     3.53553739e-01    -2.91478112e+00     8.67361738e-19     0.00000000e+00     5.26252930e-04    -5.26252930e-04     1.19289584e-01    -4.88060940e-01     5.02427593e-01    -1.33108068e+00
      0.170000     1.00000000e+00     0.00000000e+00     1.46476569e-01     8.53523431e-01    -3.43305747e-01    -8.43848982e-02     3.53524606e-01    -2.90056987e+00     0.00000000e+00     0.00000000e+00     6.00502256e-04    -6.00502256e-04     1.26495755e-01    -4.86312255e-01     5.02494562e-01    -1.31632317e+00
      0.180000     1.00000000e+00     0.00000000e+00     1.46482574e-01     8.53517426e-01    -3.42040789e-01    -8.92480207e-02     3.53492731e-01    -2.88635555e+00     0.00000000e+00     0.00000000e+00     6.81739100e-04    -6.81739100e-04     1.33663279e-01    -4.84456046e-01     5.02556994e-01    -1.30159002e+00
      0.190000     1.00000000e+00     0.00000000e+00     1.46489391e-01     8.53510609e-01    -3.40704156e-01    -9.40925812e-02     3.53458252e-01    -2.87213817e+00     0.00000000e+00     0.00000000e+00     7.69246889e-04    -7.69246889e-04     1.40789293e-01    -4.82490162e-01     5.02611562e-01    -1.28688189e+00
      0.200000     1.00000000e+00     0.00000000e+00     1.46497083e-01     8.53502917e-01    -3.39296263e-01    -9.89174828e-02     3.53421311e-01    -2.85791786e+00     0.00000000e+00     0.00000000e+00     8.62003543e-04    -8.62003543e-04     1.47872310e-01    -4.80411741e-01     5.02654614e-01    -1.27219602e+00
      0.210000     1.00000000e+00     0.00000000e+00     1.46505704e-01     8.53494296e-01    -3.37817540e-01    -1.03721600e-01     3.53382032e-01    -2.84369486e+00    -1.73472348e-18     0.00000000e+00     9.58950197e-04    -9.58950197e-04     1.54912097e-01    -4.78218094e-01     5.02683105e-01    -1.25752700e+00
      0.220000     1.00000000e+00     0.00000000e+00     1.46515293e-01     8.53484707e-01    -3.36268419e-01    -1.08503781e-01     3.53340516e-01    -2.82946947e+00    -1.73472348e-18     0.00000000e+00     1.05926511e-03    -1.05926511e-03     1.61909265e-01    -4.75907483e-01     5.02695278e-01    -1.24286812e+00
      0.230000     1.00000000e+00     0.00000000e+00     1.46525886e-01     8.53474114e-01    -3.34649327e-01    -1.13262856e-01     3.53296825e-01    -2.81524207e+00     0.00000000e+00     0.00000000e+00     1.16257450e-03    -1.16257450e-03     1.68864713e-01    -4.73479615e-01     5.02690995e-01    -1.22821292e+00
      0.240000     1.00000000e+00     0.00000000e+00     1.46537511e-01     8.53462489e-01    -3.32960679e-01    -1.17997652e-01     3.53250987e-01    -2.80101304e+00    -1.73472348e-18     0.00000000e+00     1.26904849e-03    -1.26904849e-03     1.75779062e-01    -4.70935792e-01     5.02671661e-01    -1.21355654e+00
      0.250000     1.00000000e+00     0.00000000e+00     1.46550202e-01     8.53449798e-01    -3.31202889e-01    -1.22707010e-01     3.53203007e-01    -2.78678273e+00     0.00000000e+00     0.00000000e+00     1.37935975e-03    -1.37935975e-03     1.82652199e-01    -4.68278703e-01     5.02639801e-01    -1.19889669e+00
      0.260000     1.00000000e+00     0.00000000e+00     1.46563995e-01     8.53436005e-01    -3.29376367e-01    -1.27389797e-01     3.53152873e-01    -2.77255141e+00     0.00000000e+00     0.00000000e+00     1.49451641e-03    -1.49451641e-03     1.89483036e-01    -4.65511932e-01     5.02598428e-01    -1.18423380e+00
      0.270000     1.00000000e+00     0.00000000e+00     1.46578941e-01     8.53421059e-01    -3.27481537e-01    -1.32044916e-01     3.53100576e-01    -2.75831925e+00     0.00000000e+00     0.00000000e+00     1.61561213e-03    -1.61561213e-03     1.96269509e-01    -4.62639305e-01     5.02550342e-01    -1.16957066e+00
      0.280000     1.00000000e+00     0.00000000e+00     1.46595097e-01     8.53404903e-01    -3.25518841e-01    -1.36671309e-01     3.53046120e-01    -2.74408637e+00     1.73472348e-18     0.00000000e+00     1.74355615e-03    -1.74355615e-03     2.03008812e-01    -4.59664236e-01     5.02497550e-01    -1.15491138e+00
      0.290000     1.00000000e+00     0.00000000e+00     1.46612532e-01     8.53387468e-01    -3.23488753e-01    -1.41267952e-01     3.52989529e-01    -2.72985281e+00     0.00000000e+00     0.00000000e+00     1.87885064e-03    -1.87885064e-03     2.09697779e-01    -4.56589211e-01     5.02440908e-01    -1.14026017e+00
      0.300000     1.00000000e+00     0.00000000e+00     1.46631321e-01     8.53368679e-01    -3.21391776e-01    -1.45833844e-01     3.52930848e-01    -2.71561860e+00     0.00000000e+00     0.00000000e+00     2.02147005e-03    -2.02147005e-03     2.16333322e-01    -4.53415514e-01     5.02380070e-01    -1.12562020e+00
      0.310000     1.00000000e+00     0.00000000e+00     1.46651536e-01     8.53348464e-01    -3.19228442e-01    -1.50367999e-01     3.52870137e-01    -2.70138378e+00     0.00000000e+00     0.00000000e+00     2.17087183e-03    -2.17087183e-03     2.22912818e-01    -4.50143244e-01     5.02313712e-01    -1.11099273e+00
      0.320000     1.00000000e+00     0.00000000e+00     1.46673244e-01     8.53326756e-01    -3.16999314e-01    -1.54869432e-01     3.52807463e-01    -2.68714842e+00    -1.73472348e-18     0.00000000e+00     2.32613455e-03    -2.32613455e-03     2.29434358e-01    -4.46771601e-01     5.02239970e-01    -1.09637678e+00
      0.330000     1.00000000e+00     0.00000000e+00     1.46696506e-01     8.53303494e-01    -3.14704971e-01    -1.59337148e-01     3.52742888e-01    -2.67291264e+00     0.00000000e+00     0.00000000e+00     2.48618852e-03    -2.48618852e-03     2.35896812e-01    -4.43299358e-01     5.02156975e-01    -1.08176942e+00
      0.340000     1.00000000e+00     0.00000000e+00     1.46721367e-01     8.53278633e-01    -3.12346002e-01    -1.63770141e-01     3.52676458e-01    -2.65867665e+00     0.00000000e+00     0.00000000e+00     2.65008092e-03    -2.65008092e-03     2.42299711e-01    -4.39725416e-01     5.02063334e-01    -1.06716648e+00
      0.350000     1.00000000e+00     0.00000000e+00     1.46747868e-01     8.53252132e-01    -3.09923005e-01    -1.68167395e-01     3.52608199e-01    -2.64444066e+00     0.00000000e+00     0.00000000e+00     2.81720957e-03    -2.81720957e-03     2.48642983e-01    -4.36049293e-01     5.01958483e-01    -1.05256357e+00
      0.360000     1.00000000e+00     0.00000000e+00     1.46776040e-01     8.53223960e-01    -3.07436575e-01    -1.72527888e-01     3.52538112e-01    -2.63020493e+00     0.00000000e+00     0.00000000e+00     2.98746790e-03    -2.98746790e-03     2.54926613e-01    -4.32271462e-01     5.01842799e-01    -1.03795709e+00
