# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01    -5.00000000e-03     3.53588744e-01    -3.12745146e+00     0.00000000e+00     0.00000000e+00    -6.45375647e-07     6.45375647e-07     7.69429204e-03    -4.99986763e-01     5.00045964e-01    -1.55540855e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446603e-01     8.53553397e-01    -3.53476448e-01    -9.99986763e-03     3.53617868e-01    -3.11331014e+00     0.00000000e+00     0.00000000e+00     1.05966213e-06    -1.05966213e-06     1.53745055e-02    -4.99838723e-01     5.00075119e-01    -1.54004709e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446614e-01     8.53553386e-01    -3.53322703e-01    -1.49982549e-02     3.53640891e-01    -3.09916895e+00     0.00000000e+00     0.00000000e+00     7.22715532e-06    -7.22715532e-06     2.30263955e-02    -4.99557457e-01     5.00087860e-01    -1.52473534e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46446686e-01     8.53553314e-01    -3.53092439e-01    -1.99938294e-02     3.53658060e-01    -3.08502814e+00     0.00000000e+00     0.00000000e+00     1.92959881e-05    -1.92959881e-05     3.06388453e-02    -4.99145407e-01     5.00084869e-01    -1.50949064e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46446879e-01     8.53553121e-01    -3.52786050e-01    -2.49852835e-02     3.53669707e-01    -3.07088795e+00     0.00000000e+00     0.00000000e+00     3.78780291e-05    -3.78780291e-05     3.82047900e-02    -4.98605508e-01     5.00067054e-01    -1.49432247e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46447258e-01     8.53552742e-01    -3.52404002e-01    -2.99713386e-02     3.53676211e-01    -3.05674859e+00     0.00000000e+00     0.00000000e+00     6.27797026e-05    -6.27797026e-05     4.57214952e-02    -4.97940759e-01     5.00035454e-01    -1.47923193e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46447885e-01     8.53552115e-01    -3.51946787e-01    -3.49507462e-02     3.53677955e-01    -3.04261028e+00     0.00000000e+00     0.00000000e+00     9.31887322e-05    -9.31887322e-05     5.31901735e-02    -4.97153844e-01     4.99991139e-01    -1.46421241e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46448817e-01     8.53551183e-01    -3.51414886e-01    -3.99222846e-02     3.53675290e-01    -3.02847321e+00     0.00000000e+00     0.00000000e+00     1.27978375e-04    -1.27978375e-04     6.06150367e-02    -4.96246852e-01     4.99935116e-01    -1.44925147e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46450097e-01     8.53549903e-01    -3.50808735e-01    -4.48847531e-02     3.53668503e-01    -3.01433754e+00     0.00000000e+00     0.00000000e+00     1.66055791e-04    -1.66055791e-04     6.80019815e-02    -4.95221162e-01     4.99868251e-01    -1.43433337e+00
