# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00     0.00000000e+00     0.00000000e+00    -5.83054262e-07     5.83054262e-07     7.69399402e-03    -4.99975064e-01     5.00034261e-01    -1.55540879e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446604e-01     8.53553396e-01    -3.53405747e-01    -9.99878523e-03     3.53547165e-01    -3.11330755e+00     0.00000000e+00     0.00000000e+00     1.30618782e-06    -1.30618782e-06     1.53727282e-02    -4.99888704e-01     5.00125022e-01    -1.54005371e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446621e-01     8.53553379e-01    -3.53216682e-01    -1.49962445e-02     3.53534880e-01    -3.09916192e+00    -2.16840434e-19     0.00000000e+00     7.77194121e-06    -7.77194121e-06     2.30230076e-02    -4.99733292e-01     5.00263353e-01    -1.52475829e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46446705e-01     8.53553295e-01    -3.52951131e-01    -1.99915263e-02     3.53516848e-01    -3.08501205e+00     0.00000000e+00     0.00000000e+00     2.02416537e-05    -2.02416537e-05     3.06346424e-02    -4.99497396e-01     5.00435940e-01    -1.50954212e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46446918e-01     8.53553082e-01    -3.52609488e-01    -2.49838335e-02     3.53493484e-01    -3.07085675e+00     4.33680869e-19     0.00000000e+00     3.93142139e-05    -3.93142139e-05     3.82013028e-02    -4.99167388e-01     5.00627028e-01    -1.49441517e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46447328e-01     8.53552672e-01    -3.52192211e-01    -2.99722338e-02     3.53465257e-01    -3.05669529e+00     0.00000000e+00     0.00000000e+00     6.47837180e-05    -6.47837180e-05     4.57207565e-02    -4.98729309e-01     5.00820638e-01    -1.47937736e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46447998e-01     8.53552002e-01    -3.51699778e-01    -3.49556556e-02     3.53432641e-01    -3.04252739e+00     0.00000000e+00     0.00000000e+00     9.58280828e-05    -9.58280828e-05     5.31944759e-02    -4.98170672e-01     5.01002665e-01    -1.46441978e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46448986e-01     8.53551014e-01    -3.51132658e-01    -3.99329020e-02     3.53396067e-01    -3.02835321e+00     0.00000000e+00     0.00000000e+00     1.31314458e-04    -1.31314458e-04     6.06267139e-02    -4.97481934e-01     5.01162522e-01    -1.44952715e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46450337e-01     8.53549663e-01    -3.50491274e-01    -4.49026796e-02     3.53355889e-01    -3.01417320e+00     0.00000000e+00     0.00000000e+00     1.70147882e-04    -1.70147882e-04     6.80232381e-02    -4.96657423e-01     5.01294082e-01    -1.43468113e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.46452083e-01     8.53547917e-01    -3.49775995e-01    -4.98636366e-02     3.53312367e-01    -2.99998801e+00     0.00000000e+00     0.00000000e+00     2.11581775e-04    -2.11581775e-04     7.53899643e-02    -4.95695588e-01     5.01395814e-01    -1.41986374e+00
      0.110000     1.00000000e+00     0.00000000e+00     1.46454253e-01     8.53545747e-01    -3.48987127e-01    -5.48144045e-02     3.53265670e-01    -2.98579836e+00     0.00000000e+00     0.00000000e+00     2.55420289e-04    -2.55420289e-04     8.27317324e-02    -4.94598603e-01     5.01470156e-01    -1.40506024e+00
      0.120000     1.00000000e+00     0.00000000e+00     1.46456871e-01     8.53543129e-01    -3.48124932e-01    -5.97536348e-02     3.53215890e-01    -2.97160489e+00     8.67361738e-19     0.00000000e+00     3.02070082e-04    -3.02070082e-04     9.00514281e-02    -4.93371428e-01     5.01522309e-01    -1.39026105e+00
      0.130000     1.00000000e+00     0.00000000e+00     1.46459965e-01     8.53540035e-01    -3.47189639e-01    -6.46800282e-02     3.53163066e-01    -2.95740810e+00     0.00000000e+00     0.00000000e+00     3.52436102e-04    -3.52436102e-04     9.73495713e-02    -4.92020534e-01     5.01558715e-01    -1.37546246e+00
      0.140000     1.00000000e+00     0.00000000e+00     1.46463573e-01     8.53536427e-01    -3.46181473e-01    -6.95923495e-02     3.53107218e-01    -2.94320833e+00     0.00000000e+00     0.00000000e+00     4.07693293e-04    -4.07693293e-04     1.04624398e-01    -4.90552547e-01     5.01585552e-01    -1.36066602e+00
      0.150000     1.00000000e+00     0.00000000e+00     1.46467746e-01     8.53532254e-01    -3.45100677e-01    -7.44894296e-02     3.53048372e-01    -2.92900572e+00    -1.73472348e-18     0.00000000e+00     4.68995011e-04    -4.68995011e-04     1.11872364e-01    -4.88973056e-01     5.01607491e-01    -1.34587702e+00
      0.160000     1.00000000e+00     0.00000000e+00     1.46472543e-01     8.53527457e-01    -3.43947528e-01    -7.93701563e-02     3.52986578e-01    -2.91480029e+00     0.00000000e+00     0.00000000e+00     5.37192494e-04    -5.37192494e-04     1.19088928e-01    -4.87285781e-01     5.01626958e-01    -1.33110235e+00
      0.170000     1.00000000e+00     0.00000000e+00     1.46478035e-01     8.53521965e-01    -3.42722348e-01    -8.42334549e-02     3.52921922e-01    -2.90059200e+00     0.00000000e+00     0.00000000e+00     6.12635036e-04    -6.12635036e-04     1.26269418e-01    -4.85492218e-01     5.01643957e-01    -1.31634831e+00
      0.180000     1.00000000e+00     0.00000000e+00     1.46484295e-01     8.53515705e-01    -3.41425506e-01    -8.90782667e-02     3.52854522e-01    -2.88638080e+00     0.00000000e+00     0.00000000e+00     6.95098989e-04    -6.95098989e-04     1.33409814e-01    -4.83591778e-01     5.01656442e-01    -1.30161887e+00
      0.190000     1.00000000e+00     0.00000000e+00     1.46491393e-01     8.53508607e-01    -3.40057411e-01    -9.39035277e-02     3.52784517e-01    -2.87216670e+00     0.00000000e+00     0.00000000e+00     7.83860893e-04    -7.83860893e-04     1.40507272e-01    -4.81582342e-01     5.01661086e-01    -1.28691466e+00
      0.200000     1.00000000e+00     0.00000000e+00     1.46499392e-01     8.53500608e-01    -3.38618499e-01    -9.87081529e-02     3.52712046e-01    -2.85794981e+00    -1.73472348e-18     0.00000000e+00     8.77894064e-04    -8.77894064e-04     1.47560329e-01    -4.79461080e-01     5.01654241e-01    -1.27223292e+00
      0.210000     1.00000000e+00     0.00000000e+00     1.46508347e-01     8.53491653e-01    -3.37109224e-01    -1.03491029e-01     3.52637239e-01    -2.84373035e+00     0.00000000e+00     0.00000000e+00     9.76137755e-04    -9.76137755e-04     1.54568770e-01    -4.77225339e-01     5.01632863e-01    -1.25756823e+00
      0.220000     1.00000000e+00     0.00000000e+00     1.46518298e-01     8.53481702e-01    -3.35530040e-01    -1.08251017e-01     3.52560195e-01    -2.82950864e+00    -3.46944695e-18     0.00000000e+00     1.07777082e-03    -1.07777082e-03     1.61533222e-01    -4.74873413e-01     5.01595196e-01    -1.24291387e+00
      0.230000     1.00000000e+00     0.00000000e+00     1.46529280e-01     8.53470720e-01    -3.33881396e-01    -1.12986960e-01     3.52480977e-01    -2.81528503e+00     0.00000000e+00     0.00000000e+00     1.18242163e-03    -1.18242163e-03     1.68454603e-01    -4.72405045e-01     5.01541105e-01    -1.22826338e+00
      0.240000     1.00000000e+00     0.00000000e+00     1.46541324e-01     8.53458676e-01    -3.32163730e-01    -1.17697697e-01     3.52399618e-01    -2.80105992e+00     1.73472348e-18     0.00000000e+00     1.29026286e-03    -1.29026286e-03     1.75333546e-01    -4.69821572e-01     5.01471995e-01    -1.21361189e+00
      0.250000     1.00000000e+00     0.00000000e+00     1.46554463e-01     8.53445537e-01    -3.30377475e-01    -1.22382080e-01     3.52316122e-01    -2.78683363e+00     0.00000000e+00     0.00000000e+00     1.40196870e-03    -1.40196870e-03     1.82169955e-01    -4.67125719e-01     5.01390397e-01    -1.19895712e+00
      0.260000     1.00000000e+00     0.00000000e+00     1.46568734e-01     8.53431266e-01    -3.28523066e-01    -1.27038991e-01     3.52230479e-01    -2.77260644e+00     0.00000000e+00     0.00000000e+00     1.51854680e-03    -1.51854680e-03     1.88962759e-01    -4.64321103e-01     5.01299323e-01    -1.18429950e+00
      0.270000     1.00000000e+00     0.00000000e+00     1.46584188e-01     8.53415812e-01    -3.26600947e-01    -1.31667345e-01     3.52142681e-01    -2.75837852e+00     0.00000000e+00     0.00000000e+00     1.64108778e-03    -1.64108778e-03     1.95709916e-01    -4.61411583e-01     5.01201576e-01    -1.16964183e+00
      0.280000     1.00000000e+00     0.00000000e+00     1.46600884e-01     8.53399116e-01    -3.24611581e-01    -1.36266096e-01     3.52052734e-01    -2.74414999e+00     0.00000000e+00     0.00000000e+00     1.77049546e-03    -1.77049546e-03     2.02408645e-01    -4.58400602e-01     5.01099164e-01    -1.15498821e+00
      0.290000     1.00000000e+00     0.00000000e+00     1.46618892e-01     8.53381108e-01    -3.22555461e-01    -1.40834236e-01     3.51960661e-01    -2.72992089e+00     0.00000000e+00     0.00000000e+00     1.90726489e-03    -1.90726489e-03     2.09055807e-01    -4.55290676e-01     5.00992944e-01    -1.14034287e+00
      0.300000     1.00000000e+00     0.00000000e+00     1.46638286e-01     8.53361714e-01    -3.20433109e-01    -1.45370777e-01     3.51866509e-01    -2.71569124e+00     0.00000000e+00     0.00000000e+00     2.05136290e-03    -2.05136290e-03     2.15648341e-01    -4.52083114e-01     5.00882570e-01    -1.12570897e+00
      0.310000     1.00000000e+00     0.00000000e+00     1.46659138e-01     8.53340862e-01    -3.18245080e-01    -1.49874751e-01     3.51770340e-01    -2.70146106e+00     0.00000000e+00     0.00000000e+00     2.20224003e-03    -2.20224003e-03     2.22183653e-01    -4.48778042e-01     5.00766719e-01    -1.11108777e+00
      0.320000     1.00000000e+00     0.00000000e+00     1.46681517e-01     8.53318483e-01    -3.15991952e-01    -1.54345186e-01     3.51672220e-01    -2.68723043e+00     3.46944695e-18     0.00000000e+00     2.35896976e-03    -2.35896976e-03     2.28659863e-01    -4.45374685e-01     5.00643529e-01    -1.09647828e+00
