# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00     4.33680869e-19     0.00000000e+00    -2.36491940e-06     2.36491940e-06     7.07319703e-03    -4.99915672e-01     4.99965708e-01    -1.55664849e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446589e-01     8.53553411e-01    -3.53411962e-01    -9.99797116e-03     3.53553355e-01    -3.11331035e+00     0.00000000e+00     0.00000000e+00     5.07607612e-06    -5.07607612e-06     1.41341903e-02    -4.99663434e-01     4.99863304e-01    -1.54251645e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446651e-01     8.53553349e-01    -3.53235309e-01    -1.49927433e-02     3.53553342e-01    -3.09917405e+00    -8.67361738e-19     0.00000000e+00     3.06183465e-05    -3.06183465e-05     2.11723226e-02    -4.99245667e-01     4.99694410e-01    -1.52841310e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46446982e-01     8.53553018e-01    -3.52988320e-01    -1.99825113e-02     3.53553469e-01    -3.08504346e+00     0.00000000e+00     0.00000000e+00     7.98612832e-05    -7.98612832e-05     2.81796772e-02    -4.98666039e-01     4.99461623e-01    -1.51434625e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46447821e-01     8.53552179e-01    -3.52671320e-01    -2.49656788e-02     3.53553878e-01    -3.07092033e+00     0.00000000e+00     0.00000000e+00     1.55104404e-04    -1.55104404e-04     3.51516972e-02    -4.97929070e-01     4.99168309e-01    -1.50031746e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46449433e-01     8.53550567e-01    -3.52284675e-01    -2.99406983e-02     3.53554716e-01    -3.05680634e+00    -1.73472348e-18     0.00000000e+00     2.55442594e-04    -2.55442594e-04     4.20870990e-02    -4.97039625e-01     4.98818317e-01    -1.48632229e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46452071e-01     8.53547929e-01    -3.51828765e-01    -3.49060713e-02     3.53556097e-01    -3.04270303e+00     0.00000000e+00     0.00000000e+00     3.77517621e-04    -3.77517621e-04     4.89871218e-02    -4.96002460e-01     4.98415668e-01    -1.47235172e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46455955e-01     8.53544045e-01    -3.51303957e-01    -3.98603452e-02     3.53558081e-01    -3.02861186e+00     0.00000000e+00     0.00000000e+00     5.16734436e-04    -5.16734436e-04     5.58543063e-02    -4.94821863e-01     4.97964235e-01    -1.45839450e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46461259e-01     8.53538741e-01    -3.50710591e-01    -4.48021067e-02     3.53560670e-01    -3.01453418e+00     3.46944695e-18     0.00000000e+00     6.68649365e-04    -6.68649365e-04     6.26910975e-02    -4.93501471e-01     4.97467462e-01    -1.44443986e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.46468111e-01     8.53531889e-01    -3.50048984e-01    -4.97299744e-02     3.53563801e-01    -3.00047124e+00     0.00000000e+00     0.00000000e+00     8.30206238e-04    -8.30206238e-04     6.94985981e-02    -4.92044247e-01     4.96928160e-01    -1.43047991e+00
      0.110000     1.00000000e+00     0.00000000e+00     1.46476611e-01     8.53523389e-01    -3.49319439e-01    -5.46425923e-02     3.53567368e-01    -2.98642425e+00     0.00000000e+00     0.00000000e+00     1.00054195e-03    -1.00054195e-03     7.62757532e-02    -4.90452592e-01     4.96348401e-01    -1.41651114e+00
      0.120000     1.00000000e+00     0.00000000e+00     1.46486848e-01     8.53513152e-01    -3.48522273e-01    -5.95386243e-02     3.53571241e-01    -2.97239435e+00     0.00000000e+00     0.00000000e+00     1.18119278e-03    -1.18119278e-03     8.30191372e-02    -4.88728547e-01     4.95729533e-01    -1.40253487e+00
      0.130000     1.00000000e+00     0.00000000e+00     1.46498928e-01     8.53501072e-01    -3.47657834e-01    -6.44167525e-02     3.53575293e-01    -2.95838263e+00     3.46944695e-18     0.00000000e+00     1.37567973e-03    -1.37567973e-03     8.97233654e-02    -4.86874011e-01     4.95072302e-01    -1.38855641e+00
      0.140000     1.00000000e+00     0.00000000e+00     1.46512992e-01     8.53487008e-01    -3.46726526e-01    -6.92756769e-02     3.53579416e-01    -2.94439019e+00    -3.46944695e-18     0.00000000e+00     1.58859986e-03    -1.58859986e-03     9.63820020e-02    -4.84890911e-01     4.94377068e-01    -1.37458327e+00
      0.150000     1.00000000e+00     0.00000000e+00     1.46529225e-01     8.53470775e-01    -3.45728816e-01    -7.41141172e-02     3.53583536e-01    -2.93041810e+00     0.00000000e+00     0.00000000e+00     1.82446545e-03    -1.82446545e-03     1.02988724e-01    -4.82781300e-01     4.93644063e-01    -1.36062289e+00
      0.160000     1.00000000e+00     0.00000000e+00     1.46547861e-01     8.53452139e-01    -3.44665235e-01    -7.89308152e-02     3.53587610e-01    -2.91646740e+00     0.00000000e+00     0.00000000e+00     2.08658663e-03    -2.08658663e-03     1.09538443e-01    -4.80547358e-01     4.92873649e-01    -1.34668042e+00
      0.170000     1.00000000e+00     0.00000000e+00     1.46569164e-01     8.53430836e-01    -3.43536362e-01    -8.37245364e-02     3.53591615e-01    -2.90253915e+00    -6.93889390e-18     0.00000000e+00     2.37627476e-03    -2.37627476e-03     1.16028100e-01    -4.78191323e-01     4.92066521e-01    -1.33275711e+00
