# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00     4.33680869e-19     0.00000000e+00    -2.36491940e-06     2.36491940e-06     9.56347975e-03    -4.99897056e-01     4.99988526e-01    -1.55166776e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446590e-01     8.53553410e-01    -3.53387063e-01    -9.99760894e-03     3.53528455e-01    -3.11330938e+00     0.00000000e+00     0.00000000e+00     5.42336205e-06    -5.42336205e-06     1.90677357e-02    -4.99554976e-01     4.99918746e-01    -1.53264540e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446659e-01     8.53553341e-01    -3.53161087e-01    -1.49909479e-02     3.53479111e-01    -3.09917022e+00     8.67361738e-19     0.00000000e+00     3.21438495e-05    -3.21438495e-05     2.84597200e-02    -4.98980248e-01     4.99791199e-01    -1.51382229e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46447012e-01     8.53552988e-01    -3.52841253e-01    -1.99775469e-02     3.53406355e-01    -3.08503396e+00     0.00000000e+00     0.00000000e+00     8.37978535e-05    -8.37978535e-05     3.76989951e-02    -4.98182801e-01     4.99607163e-01    -1.49526726e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46447904e-01     8.53552096e-01    -3.52429109e-01    -2.49552103e-02     3.53311533e-01    -3.07090148e+00     0.00000000e+00     0.00000000e+00     1.62984216e-04    -1.62984216e-04     4.67614332e-02    -4.97174488e-01     4.99368705e-01    -1.47701784e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46449613e-01     8.53550387e-01    -3.51926443e-01    -2.99218653e-02     3.53196177e-01    -3.05677358e+00    -1.73472348e-18     0.00000000e+00     2.68998915e-04    -2.68998915e-04     5.56403136e-02    -4.95967378e-01     4.99078636e-01    -1.45907801e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46452412e-01     8.53547588e-01    -3.51335107e-01    -3.48755613e-02     3.53061839e-01    -3.04265098e+00    -1.73472348e-18     0.00000000e+00     3.98612085e-04    -3.98612085e-04     6.43447530e-02    -4.94572211e-01     4.98740333e-01    -1.44142118e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46456540e-01     8.53543460e-01    -3.50656863e-01    -3.98144523e-02     3.52909940e-01    -3.02853435e+00     0.00000000e+00     0.00000000e+00     5.47321127e-04    -5.47321127e-04     7.28958774e-02    -4.92997300e-01     4.98357448e-01    -1.42399737e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46462190e-01     8.53537810e-01    -3.49893257e-01    -4.47367710e-02     3.52741648e-01    -3.01442429e+00     0.00000000e+00     0.00000000e+00     7.10775116e-04    -7.10775116e-04     8.13215299e-02    -4.91248054e-01     4.97933571e-01    -1.40674342e+00
