# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.010000     1.00000000e+00    -3.61400724e-22     1.46446147e-01     8.53553853e-01    -3.52666241e-01    -2.49769354e-02     3.53549607e-01    -3.07088756e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.020000     1.00000000e+00    -9.03501810e-22     1.46449781e-01     8.53550219e-01    -3.50021417e-01    -4.98178407e-02     3.53548879e-01    -3.00021422e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.030000     1.00000000e+00    -1.62630326e-21     1.46463104e-01     8.53536896e-01    -3.45640266e-01    -7.43929654e-02     3.53555522e-01    -2.92959442e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.040000     1.00000000e+00    -9.03501810e-22     1.46487046e-01     8.53512954e-01    -3.39544183e-01    -9.85754395e-02     3.53563812e-01    -2.85904287e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.050000     1.00000000e+00    -2.34910471e-21     1.46526943e-01     8.53473057e-01    -3.31771840e-01    -1.22242450e-01     3.53575692e-01    -2.78857382e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.060000     1.00000000e+00    -9.03501810e-22     1.46585501e-01     8.53414499e-01    -3.22366138e-01    -1.45274956e-01     3.53588376e-01    -2.71819663e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.070000     1.00000000e+00    -9.03501810e-22     1.46666098e-01     8.53333902e-01    -3.11379015e-01    -1.67557990e-01     3.53599450e-01    -2.64791929e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.080000     1.00000000e+00    -1.62630326e-21     1.46772317e-01     8.53227683e-01    -2.98871635e-01    -1.88981856e-01     3.53607687e-01    -2.57774839e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
      0.090000     1.00000000e+00    -4.51750905e-21     1.46906254e-01     8.53093746e-01    -2.84909846e-01    -2.09441297e-01     3.53608933e-01    -2.50768667e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00
